,PPV,TPR,F1,INF
7MQ8_L2,0.441,0.578,0.5,0.505
7MQ9_L2,0.41,0.568,0.476,0.483
7MQA_L2,0.569,0.767,0.653,0.661
7QXA_B,0.16,0.333,0.216,0.231
7V9A_R,0.304,0.425,0.354,0.359
7TRD_B,0.186,0.302,0.23,0.237
7BG9_B,0.311,0.578,0.404,0.424
7TRE_B,0.212,0.36,0.267,0.276
7V99_R,0.309,0.46,0.369,0.377
7TRF_B,0.198,0.321,0.245,0.252
7TRC_B,0.405,0.63,0.493,0.505
7BGB_B,0.5,0.667,0.571,0.577
7QXS_B,0.34,0.574,0.427,0.442
7QXB_B,0.343,0.574,0.429,0.444
7DA7_C,0.0,0.0,0.0,0.0
7C7A_A,0.488,0.708,0.578,0.588
7DAS_C,0.0,0.0,0.0,0.0
6W6V_A,0.45,0.701,0.548,0.562
7C79_A,0.524,0.733,0.611,0.62
7ELD_B,0.484,1.0,0.652,0.696
6XRZ_A,0.383,0.621,0.474,0.488
7O7Z_AH,0.733,0.815,0.772,0.773
7KGA_B,0.515,0.895,0.654,0.679
7KGA_A,0.485,0.889,0.627,0.656
7MQ9_L0,0.284,0.418,0.338,0.345
7MQ8_L0,0.307,0.418,0.354,0.358
7MQA_L0,0.0,0.0,0.0,0.0
6VAR_A,0.923,0.96,0.941,0.941
7SAM_A,0.5,0.76,0.603,0.616
7SCQ_C,0.402,0.685,0.507,0.525
7SC6_C,0.447,0.731,0.555,0.572
4C9D_D,0.6,1.0,0.75,0.775
7LYF_A,0.705,0.896,0.789,0.795
6JQ6_U,0.655,0.864,0.745,0.752
5T5A_A,0.414,0.706,0.522,0.54
6TFE_A,0.783,1.0,0.878,0.885
6TF0_A,0.545,0.75,0.632,0.64
6TFH_A,0.545,0.75,0.632,0.64
6TFF_A,0.783,1.0,0.878,0.885
6TFG_A,0.783,1.0,0.878,0.885
6TB7_A,0.783,1.0,0.878,0.885
7D7V_A,0.727,0.842,0.78,0.783
7D7Y_A,0.5,0.846,0.629,0.65
6TF3_A,0.783,1.0,0.878,0.885
6TF1_A,0.783,1.0,0.878,0.885
7D7X_A,0.5,0.846,0.629,0.65
7D82_A,0.85,1.0,0.919,0.922
7D81_A,0.773,0.944,0.85,0.854
7D7W_A,0.5,0.846,0.629,0.65
7D7Z_A,0.5,0.846,0.629,0.65
6TF2_A,0.783,1.0,0.878,0.885
7ELR_B,0.522,0.857,0.649,0.669
7ELS_A,0.545,0.857,0.667,0.684
7ELQ_A,0.522,0.857,0.649,0.669
7ELR_A,0.522,0.857,0.649,0.669
7ELS_B,0.5,0.857,0.632,0.655
7ELQ_B,0.5,0.857,0.632,0.655
7ELP_B,0.5,0.857,0.632,0.655
7ELP_A,0.545,0.857,0.667,0.684
1M5V_E,0.576,0.95,0.717,0.74
1M5K_B,0.556,0.833,0.667,0.68
1M5P_B,0.543,0.95,0.691,0.718
1M5P_E,0.594,0.95,0.731,0.751
1M5O_E,0.576,0.95,0.717,0.74
1M5V_B,0.576,0.95,0.717,0.74
1M5K_E,0.588,0.833,0.69,0.7
1M5O_B,0.559,0.95,0.704,0.729
