,PPV,TPR,F1,INF
7A01_d2,0.629,0.629,0.629,0.629
7A09_f,0.95,1.0,0.974,0.975
7A0R_Y,0.971,1.0,0.985,0.985
7A0S_Y,0.969,1.0,0.984,0.984
7A18_Y,0.967,1.0,0.983,0.983
7A5F_24,0.875,0.778,0.824,0.825
7A5F_C,0.875,0.778,0.824,0.825
7A5G_24,0.875,0.778,0.824,0.825
7A5G_C,0.875,0.778,0.824,0.825
7A5G_j,0.889,0.941,0.914,0.915
7A5H_24,1.0,1.0,1.0,1.0
7A5I_94,0.875,0.778,0.824,0.825
7A5I_99,0.778,0.7,0.737,0.738
7A5I_X,0.875,0.778,0.824,0.825
7A5J_G,0.875,0.778,0.824,0.825
7A5J_x,0.875,0.778,0.824,0.825
7A5K_24,0.875,0.778,0.824,0.825
7A5K_FE,0.875,0.778,0.824,0.825
7A5P_2,0.742,1.0,0.852,0.861
7ABF_6,0.909,1.0,0.952,0.953
7ABG_5,1.0,1.0,1.0,1.0
7ABI_5,1.0,1.0,1.0,1.0
7ABZ_3,0.571,0.69,0.625,0.628
7ABZ_7,0.933,1.0,0.966,0.966
7AC7_3,0.824,0.875,0.848,0.849
7AC7_7,0.95,1.0,0.974,0.975
7ACJ_3,0.818,0.871,0.844,0.844
7ACR_3,0.818,0.871,0.844,0.844
7AJT_D4,0.591,0.813,0.684,0.693
7AOR_A,0.0,0.0,0.0,0.0
7AQC_B,0.677,0.7,0.689,0.689
7AQC_T,0.95,1.0,0.974,0.975
7AQD_B,0.677,0.7,0.689,0.689
7AQD_T,0.952,1.0,0.976,0.976
7AS8_B,0.677,0.7,0.689,0.689
7AS9_2,0.955,1.0,0.977,0.977
7AS9_B,0.677,0.7,0.689,0.689
7ASA_A,0.765,0.929,0.839,0.843
7ASM_B,0.621,0.667,0.643,0.643
7ASN_B,0.579,0.647,0.611,0.612
7ASO_C,0.444,0.4,0.421,0.422
7ASP_3,0.563,0.5,0.529,0.53
7AZY_F,0.703,0.703,0.703,0.703
7B0Y_a,1.0,1.0,1.0,1.0
7B5K_9,0.944,1.0,0.971,0.972
