,PPV,TPR,F1,INF
7MQ8_L2,0.441,0.553,0.491,0.494
7MQ9_L2,0.41,0.543,0.467,0.472
7MQA_L2,0.466,0.587,0.519,0.523
7QXA_B,0.2,0.247,0.221,0.222
7V9A_R,0.268,0.357,0.306,0.309
7TRD_B,0.291,0.439,0.35,0.357
7BG9_B,0.168,0.244,0.199,0.202
7TRE_B,0.282,0.444,0.345,0.354
7V99_R,0.043,0.056,0.048,0.049
7TRF_B,0.291,0.439,0.35,0.357
7TRC_B,0.571,0.889,0.696,0.713
7BGB_B,0.694,0.926,0.794,0.802
7QXS_B,0.194,0.26,0.222,0.225
7QXB_B,0.196,0.26,0.223,0.226
7DA7_C,0.0,0.0,0.0,0.0
7C7A_A,0.481,0.633,0.546,0.551
7DAS_C,0.0,0.0,0.0,0.0
6W6V_A,0.383,0.554,0.453,0.461
7C79_A,0.5,0.636,0.56,0.564
7ELD_B,0.677,1.0,0.808,0.823
6XRZ_A,0.383,0.947,0.545,0.602
7O7Z_AH,0.5,0.652,0.566,0.571
7KGA_B,0.636,1.0,0.778,0.798
7KGA_A,0.636,1.0,0.778,0.798
7MQ9_L0,0.284,0.397,0.331,0.336
7MQ8_L0,0.307,0.397,0.346,0.349
7MQA_L0,0.0,0.0,0.0,0.0
6VAR_A,0.885,0.958,0.92,0.921
7SAM_A,0.658,0.893,0.758,0.766
7SCQ_C,0.543,0.893,0.676,0.697
7SC6_C,0.6,0.911,0.723,0.739
4C9D_D,0.0,0.0,0.0,0.0
7LYF_A,0.705,0.956,0.811,0.821
6JQ6_U,0.621,0.947,0.75,0.767
5T5A_A,0.31,0.529,0.391,0.405
6TFE_A,0.435,0.667,0.526,0.538
6TF0_A,0.227,0.385,0.286,0.296
6TFH_A,0.227,0.385,0.286,0.296
6TFF_A,0.435,0.667,0.526,0.538
6TFG_A,0.435,0.667,0.526,0.538
6TB7_A,0.435,0.667,0.526,0.538
7D7V_A,0.727,1.0,0.842,0.853
7D7Y_A,0.727,0.941,0.821,0.827
6TF3_A,0.435,0.667,0.526,0.538
6TF1_A,0.435,0.667,0.526,0.538
7D7X_A,0.727,0.941,0.821,0.827
7D82_A,0.85,1.0,0.919,0.922
7D81_A,0.773,1.0,0.872,0.879
7D7W_A,0.727,0.941,0.821,0.827
7D7Z_A,0.727,0.941,0.821,0.827
6TF2_A,0.435,0.667,0.526,0.538
7ELR_B,0.522,0.857,0.649,0.669
7ELS_A,0.545,0.857,0.667,0.684
7ELQ_A,0.522,0.857,0.649,0.669
7ELR_A,0.522,0.857,0.649,0.669
7ELS_B,0.5,0.857,0.632,0.655
7ELQ_B,0.5,0.857,0.632,0.655
7ELP_B,0.5,0.857,0.632,0.655
7ELP_A,0.545,0.857,0.667,0.684
1M5V_E,0.606,1.0,0.755,0.778
1M5K_B,0.556,1.0,0.714,0.745
1M5P_B,0.571,1.0,0.727,0.756
1M5P_E,0.625,1.0,0.769,0.791
1M5O_E,0.606,1.0,0.755,0.778
1M5V_B,0.606,1.0,0.755,0.778
1M5K_E,0.588,1.0,0.741,0.767
1M5O_B,0.588,1.0,0.741,0.767
