,PPV,TPR,F1,INF
6PIJ_1_1,0.4,0.4,0.4,0.4
5IB7_1_3L,1.0,1.0,1.0,1.0
1L2X_1_A,0.625,1.0,0.769,0.791
5D8H_1_A,0.824,0.824,0.824,0.824
6Y2L_1_B4,0.65,0.65,0.65,0.65
5ZQ8_1_D,1.0,1.0,1.0,1.0
6QW6_1_5,0.765,1.0,0.867,0.874
1E7K_1_C,0.0,0.0,0.0,0.0
7REX_1_A,0.4,0.5,0.444,0.447
5D5L_1_A,0.917,1.0,0.957,0.957
4JRC_1_B,0.588,0.556,0.571,0.572
1MJI_1_D,0.9,1.0,0.947,0.949
6R5Q_1_3,0.81,0.895,0.85,0.851
5B63_1_D,0.889,0.889,0.889,0.889
7ONU_1_T,0.55,0.786,0.647,0.657
2Y9H_1_H,1.0,1.0,1.0,1.0
6F4H_1_B,1.0,1.0,1.0,1.0
6TQB_1_B,0.875,1.0,0.933,0.935
6E8S_1_A,1.0,1.0,1.0,1.0
7K16_1_P,0.375,0.6,0.462,0.474
5F5H_1_D,1.0,1.0,1.0,1.0
7CPU_1_L7,0.778,0.718,0.747,0.747
4QIL_1_C,1.0,1.0,1.0,1.0
6PMO_1_A,0.8,0.889,0.842,0.843
6AZ3_1_6,0.6,0.75,0.667,0.671
7JRR_1_A,0.308,0.5,0.381,0.392
6DLR_1_A,0.75,0.923,0.828,0.832
4X4N_1_D,0.9,1.0,0.947,0.949
5NDI_1_B,0.571,1.0,0.727,0.756
2DRA_1_B,1.0,1.0,1.0,1.0
2BH2_1_D,1.0,1.0,1.0,1.0
6N2V_1_A,0.688,0.786,0.733,0.735
4PRF_1_B,0.182,0.2,0.19,0.191
3EPH_1_E,0.667,0.667,0.667,0.667
6KYV_1_G,1.0,1.0,1.0,1.0
6UFG_1_B,0.909,1.0,0.952,0.953
2JLT_1_A,0.0,0.0,0.0,0.0
6LTU_1_B,0.833,1.0,0.909,0.913
4AY2_1_C,1.0,1.0,1.0,1.0
6WJR_1_X,0.452,0.737,0.56,0.577
3LA5_1_A,0.833,1.0,0.909,0.913
6P7M_1_B,1.0,1.0,1.0,1.0
7OIF_1_z,0.792,0.792,0.792,0.792
5F5F_1_B,0.667,1.0,0.8,0.816
3D0U_1_A,0.714,1.0,0.833,0.845
5BTM_1_A,0.833,1.0,0.909,0.913
3DIL_1_A,0.823,1.0,0.903,0.907
5H9F_1_L,1.0,1.0,1.0,1.0
5MSF_1_R,1.0,1.0,1.0,1.0
4Z0C_1_C,0.0,0.0,0.0,0.0
4IFD_1_R,1.0,1.0,1.0,1.0
6P2H_1_A,0.6,0.75,0.667,0.671
4Z31_1_E,1.0,1.0,1.0,1.0
4FRG_1_B,0.6,0.882,0.714,0.728
2ZY6_1_A,0.778,0.778,0.778,0.778
7L0Z_1_G,0.81,1.0,0.895,0.9
2Y9H_1_N,1.0,1.0,1.0,1.0
7P48_1_5,0.952,1.0,0.976,0.976
5M0H_1_A,0.867,1.0,0.929,0.931
5VW1_1_C,0.824,0.875,0.848,0.849
1JID_1_B,0.5,0.5,0.5,0.5
5D0A_1_F,1.0,1.0,1.0,1.0
6QW6_1_4,0.536,0.6,0.566,0.567
6DU4_1_B,1.0,1.0,1.0,1.0
3AKZ_1_E,0.762,0.842,0.8,0.801
2Y8Y_1_B,1.0,1.0,1.0,1.0
6T4Q_1_7,0.8,0.941,0.865,0.868
6YL5_1_I,0.5,0.5,0.5,0.5
7JIL_1_3,0.226,0.438,0.298,0.314
4AOB_1_A,0.414,0.522,0.462,0.465
4RUM_1_A,0.862,0.893,0.877,0.877
1SER_1_T,0.1,0.143,0.118,0.12
2ZZM_1_B,0.2,0.222,0.211,0.211
3HAX_1_E,1.0,1.0,1.0,1.0
1U1Y_1_R,1.0,1.0,1.0,1.0
2XDB_1_G,0.571,0.667,0.615,0.617
4LX6_1_A,0.84,1.0,0.913,0.917
7NQ4_1_C,1.0,1.0,1.0,1.0
6AJK_1_B,1.0,1.0,1.0,1.0
3OVB_1_C,1.0,1.0,1.0,1.0
6SZV_1_V,0.0,0.0,0.0,0.0
2ANN_1_B,0.0,0.0,0.0,0.0
5E81_1_3L,1.0,1.0,1.0,1.0
3GS5_1_A,0.75,1.0,0.857,0.866
7OX8_1_A,0.765,0.813,0.788,0.788
4LGT_1_E,0.5,1.0,0.667,0.707
7EU9_1_B,0.833,1.0,0.909,0.913
4K50_1_B,1.0,1.0,1.0,1.0
5T5A_1_A,0.524,0.846,0.647,0.666
2Y9H_1_J,1.0,1.0,1.0,1.0
5UDZ_1_W,1.0,1.0,1.0,1.0
4QLM_1_A,0.6,0.724,0.656,0.659
6SKG_1_BB,0.892,0.892,0.892,0.892
3NVI_1_F,0.667,1.0,0.8,0.816
4JXZ_1_B,0.75,0.882,0.811,0.813
5NDH_1_A,0.0,0.0,0.0,0.0
3NPQ_1_A,0.429,0.545,0.48,0.483
6ERI_1_AB,0.792,0.905,0.844,0.846
2QUW_1_B,0.667,0.727,0.696,0.696
6UFM_1_B,0.759,0.88,0.815,0.817
5WTI_1_B,0.4,0.6,0.48,0.49
2A43_1_A,0.571,1.0,0.727,0.756
6JQ6_1_U,0.947,1.0,0.973,0.973
4TUW_1_C,1.0,1.0,1.0,1.0
6AAY_1_B,1.0,1.0,1.0,1.0
7KGB_1_B,0.933,1.0,0.966,0.966
1B23_1_R,0.55,0.579,0.564,0.564
5UD5_1_C,0.958,0.958,0.958,0.958
6ZP4_1_1,0.762,0.762,0.762,0.762
6TB3_1_n,0.714,0.789,0.75,0.751
6TC3_1_PTR1,0.81,1.0,0.895,0.9
6MWN_1_B,0.867,0.788,0.825,0.826
5X2G_1_B,1.0,1.0,1.0,1.0
6ERI_1_Ax,0.743,0.897,0.813,0.816
6DVK_1_H,1.0,1.0,1.0,1.0
5WLH_1_B,0.8,1.0,0.889,0.894
6LT7_1_C,0.929,1.0,0.963,0.964
6AAX_1_B,1.0,1.0,1.0,1.0
5MGA_1_B,1.0,1.0,1.0,1.0
4JF2_1_A,1.0,1.0,1.0,1.0
4V99_1_C2,0.75,1.0,0.857,0.866
5SWD_1_B,0.522,0.923,0.667,0.694
3KFU_1_L,0.864,0.905,0.884,0.884
4ZT0_1_D,0.824,0.824,0.824,0.824
5M0I_1_E,1.0,1.0,1.0,1.0
3BT7_1_D,1.0,1.0,1.0,1.0
7KI3_1_C,1.0,1.0,1.0,1.0
6RJA_1_D,0.429,0.643,0.514,0.525
5T5H_1_D,0.121,0.154,0.136,0.137
1IL2_1_C,0.3,0.429,0.353,0.359
6DCC_1_B,0.778,1.0,0.875,0.882
5M0I_1_F,1.0,1.0,1.0,1.0
3G9C_1_Q,0.857,0.973,0.911,0.913
6CFJ_1_1x,0.714,0.789,0.75,0.751
5F9F_1_F,1.0,1.0,1.0,1.0
6KC8_1_B,0.795,0.886,0.838,0.839
5AXM_1_P,0.35,0.412,0.378,0.38
6AZ3_1_4,0.521,0.61,0.562,0.564
6YAL_1_1,0.85,0.773,0.81,0.81
7ELQ_1_A,0.667,1.0,0.8,0.816
5DM6_1_Y,0.914,0.941,0.928,0.928
6DME_1_A,0.903,1.0,0.949,0.95
7C79_1_A,0.617,0.725,0.667,0.669
3ADD_1_C,0.97,0.941,0.955,0.955
7D3J_1_B,0.833,1.0,0.909,0.913
5D0B_1_F,0.833,1.0,0.909,0.913
6R5Q_1_2,0.267,0.333,0.296,0.298
2ZZN_1_D,0.773,0.895,0.829,0.831
7O7Y_1_B7,0.771,0.711,0.74,0.74
1QU2_1_T,0.864,0.905,0.884,0.884
7ODF_1_F,0.8,0.8,0.8,0.8
5M0J_1_E,1.0,1.0,1.0,1.0
1Y26_1_X,0.92,1.0,0.958,0.959
6YWE_1_bb,0.85,0.895,0.872,0.872
6WOO_1_3,1.0,1.0,1.0,1.0
7OT5_1_z,0.421,0.4,0.41,0.41
7LYT_1_B,1.0,1.0,1.0,1.0
3V7E_1_C,0.783,0.947,0.857,0.861
1H4S_1_T,0.5,0.667,0.571,0.577
7MQA_1_L2,0.791,0.829,0.81,0.81
7JNH_1_B,1.0,1.0,1.0,1.0
