,PPV,TPR,F1,INF
5D0A_1_F,1.0,1.0,1.0,1.0
1ZL3_1_B,1.0,1.0,1.0,1.0
7ONU_1_T,0.75,1.0,0.857,0.866
1QTQ_1_B,0.95,1.0,0.974,0.975
6QW6_1_5,0.912,0.969,0.939,0.94
3OIN_1_C,1.0,1.0,1.0,1.0
2XDB_1_G,0.0,0.0,0.0,0.0
7P48_1_5,0.762,0.842,0.8,0.801
7MLW_1_F,0.775,0.939,0.849,0.853
3JCS_1_5,0.222,0.211,0.216,0.216
3JCS_1_3,0.395,0.5,0.441,0.444
6M0X_1_B,0.733,0.733,0.733,0.733
6W5C_1_B,0.0,0.0,0.0,0.0
7N2V_1_Pt,0.81,0.895,0.85,0.851
6PRV_1_A,0.929,1.0,0.963,0.964
5T16_1_H,1.0,1.0,1.0,1.0
5E81_1_2K,0.524,0.579,0.55,0.551
6TB3_1_n,0.571,0.8,0.667,0.676
6JQ6_1_U,0.789,1.0,0.882,0.889
6LTU_1_B,0.833,1.0,0.909,0.913
1H4S_1_T,0.5,0.625,0.556,0.559
1F27_1_A,1.0,1.0,1.0,1.0
6E8T_1_D,1.0,1.0,1.0,1.0
6U8D_1_A,0.963,1.0,0.981,0.981
1E7K_1_C,0.6,1.0,0.75,0.775
4ZDO_1_E,0.63,0.708,0.667,0.668
3NDB_1_M,0.889,1.0,0.941,0.943
6KWQ_1_B,1.0,1.0,1.0,1.0
6SY4_1_C,0.857,1.0,0.923,0.926
7RYG_1_B,0.719,0.885,0.793,0.797
4PRF_1_B,0.318,0.35,0.333,0.334
1U1Y_1_R,0.6,0.6,0.6,0.6
4BW0_1_A,1.0,1.0,1.0,1.0
6KYV_1_G,1.0,1.0,1.0,1.0
3ZGZ_1_B,0.64,0.762,0.696,0.698
6ZVI_1_e,0.9,0.947,0.923,0.923
2ZZM_1_B,0.65,0.722,0.684,0.685
7LJ3_1_A,0.81,1.0,0.895,0.9
4Z7K_1_C,0.0,0.0,0.0,0.0
1Y26_1_X,0.84,1.0,0.913,0.917
5B2T_1_A,0.824,0.778,0.8,0.8
5HR6_1_C,0.762,1.0,0.865,0.873
7OZQ_1_H,1.0,1.0,1.0,1.0
4FAR_1_A,0.554,0.817,0.66,0.673
4ZNP_1_A,0.714,0.938,0.811,0.818
5F5F_1_F,0.0,0.0,0.0,0.0
4AL5_1_B,1.0,1.0,1.0,1.0
4PR6_1_B,0.318,0.412,0.359,0.362
3FOZ_1_D,0.611,0.733,0.667,0.669
2VPL_1_B,0.938,0.938,0.938,0.938
6TC3_1_PTR1,0.81,0.944,0.872,0.874
5WT1_1_C,0.7,0.824,0.757,0.759
5K7D_1_A,0.417,0.556,0.476,0.481
1XJR_1_A,0.6,0.818,0.692,0.701
7JRR_1_A,0.0,0.0,0.0,0.0
5M0J_1_E,1.0,1.0,1.0,1.0
7RQB_1_1B,0.676,0.806,0.735,0.738
5B2P_1_B,0.381,0.5,0.432,0.436
6YDP_1_AV,0.294,0.5,0.37,0.383
1ET4_1_A,0.125,0.167,0.143,0.144
7AQC_1_B,0.774,0.889,0.828,0.83
7C7L_1_C,0.457,0.696,0.552,0.564
6H9H_1_D,0.833,1.0,0.909,0.913
4LX6_1_A,0.84,1.0,0.913,0.917
2A43_1_A,0.571,1.0,0.727,0.756
6ZU5_1_L70,0.314,0.355,0.333,0.334
2Z75_1_B,0.75,0.828,0.787,0.788
4Z0C_1_C,0.0,0.0,0.0,0.0
7KI3_1_C,1.0,1.0,1.0,1.0
6TQA_1_G,1.0,1.0,1.0,1.0
4XNR_1_X,0.84,1.0,0.913,0.917
5FJC_1_A,0.724,0.84,0.778,0.78
7D7W_1_A,0.684,0.929,0.788,0.797
5DEA_1_A,0.714,0.833,0.769,0.772
6ZM6_1_x,0.81,1.0,0.895,0.9
6WBR_1_B,0.727,0.762,0.744,0.744
6H0R_1_A,1.0,1.0,1.0,1.0
6UGG_1_B,0.545,0.667,0.6,0.603
6DLR_1_A,0.75,0.923,0.828,0.832
4IFD_1_R,1.0,1.0,1.0,1.0
6SZV_1_V,0.0,0.0,0.0,0.0
5T5H_1_G,0.222,0.267,0.242,0.243
6XKO_1_A,0.571,0.762,0.653,0.66
4PCJ_1_A,0.667,0.889,0.762,0.77
3MXH_1_R,0.72,0.947,0.818,0.826
7N2V_1_Dt,0.524,0.647,0.579,0.582
6JOO_1_B,0.885,1.0,0.939,0.941
7KVT_1_B,0.864,1.0,0.927,0.929
7O80_1_AT,0.913,1.0,0.955,0.956
6ZMI_1_CC,0.6,0.75,0.667,0.671
5L4O_1_A,0.857,0.947,0.9,0.901
7O7Z_1_AH,0.654,0.85,0.739,0.745
6ZP4_1_1,0.714,0.75,0.732,0.732
3KFU_1_L,0.864,0.95,0.905,0.906
6XH2_1_D,0.8,1.0,0.889,0.894
2Y8Y_1_B,1.0,1.0,1.0,1.0
2ZUE_1_B,0.727,0.667,0.696,0.696
5F9F_1_F,1.0,1.0,1.0,1.0
5XTM_1_D,0.636,1.0,0.778,0.798
5XTM_1_B,0.7,1.0,0.824,0.837
6F4H_1_D,1.0,1.0,1.0,1.0
6MSF_1_S,0.0,0.0,0.0,0.0
7AS8_1_2,0.947,1.0,0.973,0.973
1QU2_1_T,0.955,1.0,0.977,0.977
3SN2_1_B,0.833,1.0,0.909,0.913
5DEA_1_C,0.714,0.833,0.769,0.772
4QI2_1_G,0.0,0.0,0.0,0.0
2Y9H_1_N,1.0,1.0,1.0,1.0
7JIL_1_3,0.645,0.8,0.714,0.718
7D81_1_A,0.941,0.941,0.941,0.941
4V90_1_AV,0.65,0.765,0.703,0.705
4C4W_1_H,0.0,0.0,0.0,0.0
3SKL_1_B,0.75,0.9,0.818,0.822
2OEU_1_A,0.8,1.0,0.889,0.894
6E1S_1_A,0.714,1.0,0.833,0.845
3JCS_1_6,0.0,0.0,0.0,0.0
3HAX_1_E,1.0,1.0,1.0,1.0
6QW6_1_4,0.429,0.632,0.511,0.52
1HMH_1_E,1.0,1.0,1.0,1.0
5AH5_1_D,0.652,0.833,0.732,0.737
6UFJ_1_C,0.5,0.545,0.522,0.522
4ENC_1_A,0.733,0.917,0.815,0.82
5ZTM_1_C,0.706,1.0,0.828,0.84
7LYT_1_B,1.0,1.0,1.0,1.0
6AAY_1_B,1.0,1.0,1.0,1.0
1F1T_1_A,0.6,0.75,0.667,0.671
6ERI_1_Ax,0.771,0.818,0.794,0.794
7OAX_1_A,0.8,0.8,0.8,0.8
6AZ4_1_A,0.833,1.0,0.909,0.913
7EOG_1_A,0.733,0.846,0.786,0.788
3G9C_1_Q,0.452,0.613,0.521,0.527
7JNH_1_B,0.964,1.0,0.982,0.982
2I82_1_F,1.0,1.0,1.0,1.0
6TQB_1_B,1.0,1.0,1.0,1.0
6F4G_1_C,1.0,1.0,1.0,1.0
3GS5_1_C,0.455,0.625,0.526,0.533
7ELQ_1_A,0.533,1.0,0.696,0.73
6WOO_1_3,0.571,0.706,0.632,0.635
6P7M_1_B,1.0,1.0,1.0,1.0
6AZ3_1_8,0.25,0.321,0.281,0.283
2Y8W_1_B,1.0,1.0,1.0,1.0
6SVS_1_A,0.792,0.864,0.826,0.827
2PJP_1_B,0.7,0.875,0.778,0.783
6R5Q_1_3,0.857,1.0,0.923,0.926
6XA1_1_Bv,0.353,0.375,0.364,0.364
4X4U_1_G,0.714,1.0,0.833,0.845
6SKG_1_BB,0.892,0.943,0.917,0.917
7KGA_1_A,0.714,0.952,0.816,0.825
6N2V_1_A,0.969,0.969,0.969,0.969
1GAX_1_D,0.909,0.952,0.93,0.93
5UDZ_1_W,1.0,1.0,1.0,1.0
6AZ3_1_3,0.457,0.583,0.512,0.516
7EL1_1_B,0.813,0.813,0.813,0.813
4QEI_1_C,0.762,0.8,0.78,0.781
4K27_1_U,0.824,1.0,0.903,0.907
1MJI_1_D,0.8,1.0,0.889,0.894
4QIL_1_C,0.833,1.0,0.909,0.913
4NLF_1_A,1.0,1.0,1.0,1.0
4LGT_1_E,0.833,1.0,0.909,0.913
7CPU_1_L7,0.778,0.903,0.836,0.838
4YCO_1_D,0.636,0.778,0.7,0.704
3NVI_1_F,1.0,1.0,1.0,1.0
