,PPV,TPR,F1,INF
7A01_d2,0.46,0.829,0.592,0.618
7A09_f,0.429,0.714,0.536,0.553
7A0R_Y,0.258,0.593,0.36,0.391
7A0S_Y,0.281,0.615,0.386,0.416
7A18_Y,0.267,0.615,0.372,0.405
7A5F_24,0.171,0.467,0.25,0.282
7A5F_C,0.171,0.467,0.25,0.282
7A5G_24,0.175,0.467,0.255,0.286
7A5G_C,0.175,0.467,0.255,0.286
7A5G_j,0.211,0.444,0.286,0.306
7A5H_24,0.179,0.467,0.259,0.289
7A5I_94,0.194,0.467,0.275,0.301
7A5I_99,0.219,0.5,0.304,0.331
7A5I_X,0.194,0.467,0.275,0.301
7A5J_G,0.175,0.5,0.259,0.296
7A5J_x,0.175,0.5,0.259,0.296
7A5K_24,0.179,0.467,0.259,0.289
7A5K_FE,0.179,0.467,0.259,0.289
7A5P_2,0.628,0.9,0.74,0.752
7ABF_6,0.467,0.778,0.583,0.602
7ABG_5,0.738,0.969,0.838,0.846
7ABI_5,0.683,0.875,0.767,0.773
7ABZ_3,0.155,0.31,0.207,0.219
7ABZ_7,0.25,0.5,0.333,0.354
7AC7_3,0.167,0.345,0.225,0.24
7AC7_7,0.423,0.688,0.524,0.539
7ACJ_3,0.169,0.357,0.23,0.246
7ACR_3,0.172,0.333,0.227,0.24
7AJT_D4,0.188,0.41,0.258,0.278
7AOR_A,0.0,0.0,0.0,0.0
7AQC_B,0.439,0.806,0.568,0.595
7AQC_T,0.656,1.0,0.792,0.81
7AQD_B,0.439,0.806,0.568,0.595
7AQD_T,0.618,1.0,0.764,0.786
7AS8_B,0.431,0.806,0.562,0.59
7AS9_2,0.553,1.0,0.712,0.743
7AS9_B,0.385,0.833,0.526,0.566
7ASA_A,0.226,0.438,0.298,0.314
7ASM_B,0.242,0.455,0.316,0.332
7ASN_B,0.143,0.32,0.198,0.214
7ASO_C,0.0,0.0,0.0,0.0
7ASP_3,0.033,0.069,0.044,0.048
7AZY_F,0.422,0.794,0.551,0.579
7B0Y_a,0.54,0.895,0.673,0.695
7B5K_9,0.432,0.889,0.582,0.62
7B5K_B,0.164,0.333,0.22,0.234
7B5K_x,0.161,0.238,0.192,0.196
7B5K_z,0.147,0.217,0.175,0.179
7B7D_LB,0.435,0.794,0.563,0.588
7B7D_Sm,0.471,0.727,0.571,0.585
7B7D_Sn,0.471,0.727,0.571,0.585
7B9V_5,0.329,0.558,0.414,0.428
7BG9_B,0.059,0.108,0.076,0.08
7BGB_B,0.583,0.955,0.724,0.746
7BHP_L7,0.446,0.829,0.58,0.608
7BL2_B,0.169,0.345,0.227,0.242
7BL3_B,0.167,0.333,0.222,0.236
7BL4_B,0.164,0.333,0.22,0.234
7BL5_B,0.172,0.345,0.23,0.244
7BL6_B,0.161,0.333,0.217,0.232
7BT6_3,0.393,0.688,0.5,0.52
7BTB_3,0.424,0.806,0.556,0.585
7BV8_B,0.164,0.333,0.22,0.234
7C79_A,0.429,0.635,0.512,0.522
7C7A_A,0.426,0.64,0.512,0.522
7CHD_I,0.72,0.9,0.8,0.805
7CHD_J,0.692,0.9,0.783,0.789
7CPJ_9,0.667,1.0,0.8,0.816
7CPJ_B,0.145,0.3,0.196,0.209
7CPU_L7,0.453,0.829,0.586,0.613
7CPV_L7,0.453,0.829,0.586,0.613
7D4I_3A,0.405,0.682,0.508,0.526
7D6Z_2,0.105,0.2,0.138,0.145
7D6Z_3,0.29,0.563,0.383,0.404
7D6Z_4,0.536,0.789,0.638,0.65
7D6Z_B,0.143,0.31,0.196,0.211
7D7V_A,0.0,0.0,0.0,0.0
7D80_a,0.129,0.31,0.182,0.2
7D80_X,0.091,0.158,0.115,0.12
7D80_y,0.267,0.5,0.348,0.365
