,PPV,TPR,F1,INF-MCC
100D_1_A-B,0.8,1.0,0.889,0.894
157D_1_A-B,0.9,1.0,0.947,0.949
165D_1_A-B,0.833,1.0,0.909,0.913
17RA_7_A,0.875,0.875,0.875,0.875
1A1T_1_B,1.0,1.0,1.0,1.0
1A34_1_B-C,0.0,0.0,0.0,0.0
1A3M_1_A-B,1.0,1.0,1.0,1.0
1A4D_1_A-B,1.0,1.0,1.0,1.0
1A4T_1_A,0.8,1.0,0.889,0.894
1A51_3_A,1.0,1.0,1.0,1.0
1A60_1_A,1.0,1.0,1.0,1.0
1A9L_1_A,1.0,1.0,1.0,1.0
1A9N_1_Q,0.6,0.6,0.6,0.6
1A9N_1_R,0.6,0.6,0.6,0.6
1AFX_2_A,1.0,1.0,1.0,1.0
1AJF_1_A,1.0,1.0,1.0,1.0
1AJL_1_A-B,0.167,1.0,0.286,0.408
1AJT_1_A-B,0.167,1.0,0.286,0.408
1AJU_9_A,1.0,1.0,1.0,1.0
1AKX_1_A,1.0,1.0,1.0,1.0
1AL5_1_A-B,1.0,1.0,1.0,1.0
1AM0_2_A,0.0,0.0,0.0,0.0
1ANR_2_A,1.0,1.0,1.0,1.0
1AQ3_1_R,0.6,1.0,0.75,0.775
1AQ3_1_S,0.333,1.0,0.5,0.577
1AQ4_1_R,0.6,1.0,0.75,0.775
1AQ4_1_S,0.0,0.0,0.0,0.0
1AQO_3_A,1.0,1.0,1.0,1.0
1ARJ_7_N,1.0,1.0,1.0,1.0
1ASY_1_R,0.55,0.579,0.564,0.564
1ASY_1_S,0.55,0.579,0.564,0.564
1ASZ_1_R,0.55,0.579,0.564,0.564
1ASZ_1_S,0.55,0.579,0.564,0.564
1ATO_1_A,1.0,1.0,1.0,1.0
1ATV_1_A,1.0,1.0,1.0,1.0
1ATW_1_A,1.0,1.0,1.0,1.0
1AUD_8_B,1.0,1.0,1.0,1.0
1B23_1_R,0.55,0.688,0.611,0.615
1B36_8_A,1.0,1.0,1.0,1.0
1BAU_1_A-B,0.294,0.294,0.294,0.294
1BGZ_1_A,0.75,0.75,0.75,0.75
1BIV_5_A,1.0,1.0,1.0,1.0
1BJ2_1_A-B,0.45,0.5,0.474,0.474
1BN0_2_A,1.0,1.0,1.0,1.0
1BVJ_1_A,1.0,1.0,1.0,1.0
1BYJ_31_A,1.0,1.0,1.0,1.0
1BZ2_1_A,1.0,1.0,1.0,1.0
1BZ3_1_A,1.0,1.0,1.0,1.0
1BZT_1_A,1.0,1.0,1.0,1.0
1BZU_1_A,1.0,1.0,1.0,1.0
1C04_1_E,0.733,0.917,0.815,0.82
1C04_1_F,1.0,1.0,1.0,1.0
1C0O_1_A,1.0,1.0,1.0,1.0
1C2X_1_C,1.0,1.0,1.0,1.0
1C4L_1_A-B,0.5,1.0,0.667,0.707
1CQ5_1_A,1.0,1.0,1.0,1.0
1CQL_10_A,1.0,1.0,1.0,1.0
1CSL_1_B-A,0.778,0.875,0.824,0.825
1D0T_1_A,1.0,1.0,1.0,1.0
1D0U_14_A,1.0,1.0,1.0,1.0
1D4R_1_B-A,0.444,0.571,0.5,0.504
1D6K_4_B,1.0,1.0,1.0,1.0
1DDY_1_A,0.375,0.6,0.462,0.474
1DDY_1_C,0.375,0.6,0.462,0.474
1DDY_1_E,0.375,0.6,0.462,0.474
1DDY_1_G,0.375,0.6,0.462,0.474
1DFU_1_M-N,0.889,0.889,0.889,0.889
1DI2_1_C-D,0.7,1.0,0.824,0.837
1DK1_1_B,0.579,0.647,0.611,0.612
1DQF_1_B-A,0.0,0.0,0.0,0.0
1DQH_1_B-A,0.0,0.0,0.0,0.0
1DRZ_1_B,0.182,0.4,0.25,0.27
1DUL_1_B,1.0,1.0,1.0,1.0
1DUQ_1_B-A,0.4,0.8,0.533,0.566
1DUQ_1_D-C,0.4,0.8,0.533,0.566
1DUQ_1_F-E,0.4,0.8,0.533,0.566
1DUQ_1_H-G,0.4,0.8,0.533,0.566
1DZ5_1_C-D,0.714,0.769,0.741,0.741
1E4P_8_A,1.0,1.0,1.0,1.0
1E7K_1_C,0.0,0.0,0.0,0.0
1E7K_1_D,0.0,0.0,0.0,0.0
1E8O_1_E,0.833,1.0,0.909,0.913
1E95_14_A,1.0,1.0,1.0,1.0
1EBQ_1_A,1.0,1.0,1.0,1.0
1EBR_1_A,1.0,1.0,1.0,1.0
1EBS_1_A,1.0,1.0,1.0,1.0
1EC6_1_C,1.0,1.0,1.0,1.0
1EC6_1_D,1.0,1.0,1.0,1.0
1EFW_1_C,0.952,1.0,0.976,0.976
1EFW_1_D,0.952,1.0,0.976,0.976
1EHT_3_A,1.0,1.0,1.0,1.0
1EHZ_1_A,0.5,0.6,0.545,0.548
1EI2_9_A,1.0,1.0,1.0,1.0
1EIY_1_C,0.955,1.0,0.977,0.977
1EKA_1_A-B,0.875,1.0,0.933,0.935
1EKD_1_A-B,0.875,1.0,0.933,0.935
1EKZ_4_B,1.0,1.0,1.0,1.0
1ELH_1_B-A,1.0,1.0,1.0,1.0
1ESH_1_A,1.0,1.0,1.0,1.0
1ESY_2_A,1.0,1.0,1.0,1.0
1ET4_1_A,0.375,0.6,0.462,0.474
1ET4_1_B,0.375,0.6,0.462,0.474
1ET4_1_C,0.375,0.6,0.462,0.474
1ET4_1_D,0.375,0.6,0.462,0.474
1ET4_1_E,0.375,0.6,0.462,0.474
1ETF_1_A,1.0,1.0,1.0,1.0
1ETG_14_A,1.0,1.0,1.0,1.0
1EUQ_1_B,0.9,0.947,0.923,0.923
1EUY_1_B,0.95,1.0,0.974,0.975
1EVV_1_A,0.5,0.6,0.545,0.548
1EXD_1_B,0.9,0.947,0.923,0.923
1EXY_1_A,0.917,0.917,0.917,0.917
1F1T_1_A,0.7,0.778,0.737,0.738
1F27_1_A,1.0,1.0,1.0,1.0
1F5G_1_A-B,0.125,1.0,0.222,0.354
1F5H_1_A-B,0.125,1.0,0.222,0.354
1F5U_1_A,1.0,1.0,1.0,1.0
1F5U_1_B,1.0,1.0,1.0,1.0
1F6U_2_B,0.4,1.0,0.571,0.632
1F6X_1_A,1.0,1.0,1.0,1.0
1F6Z_1_A,0.909,0.909,0.909,0.909
1F78_1_A,1.0,1.0,1.0,1.0
1F79_1_A,0.909,0.909,0.909,0.909
1F7F_3_A,1.0,1.0,1.0,1.0
1F7G_1_A,0.909,0.909,0.909,0.909
1F7H_5_A,1.0,1.0,1.0,1.0
1F7I_2_A,0.909,0.909,0.909,0.909
1F7U_1_B,0.353,0.375,0.364,0.364
1F7V_1_B,0.353,0.4,0.375,0.376
1F7Y_1_B,0.579,0.647,0.611,0.612
1F84_10_A,1.0,1.0,1.0,1.0
1F85_1_A,1.0,1.0,1.0,1.0
1F9L_1_A,1.0,1.0,1.0,1.0
1FCW_1_A,0.5,0.6,0.545,0.548
1FCW_1_B,0.5,0.6,0.545,0.548
1FCW_1_C,0.5,0.6,0.545,0.548
1FCW_1_D,0.5,0.6,0.545,0.548
1FCW_1_E,0.5,0.6,0.545,0.548
1FEQ_1_A,1.0,1.0,1.0,1.0
1FEU_1_C-B,1.0,1.0,1.0,1.0
1FEU_1_F-E,1.0,1.0,1.0,1.0
1FFK_1_9,0.971,1.0,0.985,0.985
1FFY_1_T,0.955,1.0,0.977,0.977
1FFZ_1_A,0.497,0.595,0.541,0.544
1FG0_1_A,0.5,0.595,0.543,0.545
1FHK_4_A,1.0,1.0,1.0,1.0
1FIR_1_A,0.294,0.357,0.323,0.324
1FJE_1_A,1.0,1.0,1.0,1.0
1FL8_1_A,1.0,1.0,1.0,1.0
1FMN_1_A,1.0,1.0,1.0,1.0
1FOQ_1_A,0.762,0.842,0.8,0.801
1FOQ_1_B,0.762,0.842,0.8,0.801
1FOQ_1_C,0.762,0.842,0.8,0.801
1FOQ_1_D,0.762,0.842,0.8,0.801
1FOQ_1_E,0.762,0.842,0.8,0.801
1FQZ_1_A,1.0,1.0,1.0,1.0
1FUF_1_A-B,0.5,0.625,0.556,0.559
1FYO_1_A,1.0,1.0,1.0,1.0
1FYP_1_A,1.0,1.0,1.0,1.0
1G1X_1_D-E,0.63,0.708,0.667,0.668
1G1X_1_J-I,0.63,0.708,0.667,0.668
1G59_1_B,0.955,1.0,0.977,0.977
1G59_1_D,0.955,1.0,0.977,0.977
1G70_1_A,1.0,1.0,1.0,1.0
1GAX_1_C,0.955,1.0,0.977,0.977
1GAX_1_D,0.955,1.0,0.977,0.977
1GID_1_A,0.854,0.837,0.845,0.845
1GID_1_B,0.854,0.837,0.845,0.845
1GRZ_1_A,0.789,0.889,0.836,0.837
1GRZ_1_B,0.794,0.877,0.833,0.834
1GTR_1_B,0.95,1.0,0.974,0.975
1GTS_1_B,0.95,1.0,0.974,0.975
1GUC_1_A-B,0.75,1.0,0.857,0.866
1H3E_1_B,0.8,0.909,0.851,0.853
1H4Q_1_T,0.85,0.85,0.85,0.85
1H4S_1_T,0.85,0.85,0.85,0.85
1HC8_1_C,0.929,1.0,0.963,0.964
1HC8_1_D,0.929,1.0,0.963,0.964
1HJI_1_A,0.8,0.8,0.8,0.8
1HLX_1_A,1.0,1.0,1.0,1.0
1HMH_1_A,1.0,1.0,1.0,1.0
1HMH_1_C,1.0,1.0,1.0,1.0
1HMH_1_E,1.0,1.0,1.0,1.0
1HQ1_1_B,1.0,1.0,1.0,1.0
1HR2_1_A,0.848,0.83,0.839,0.839
1HR2_1_B,0.851,0.833,0.842,0.842
1HS1_1_A,1.0,1.0,1.0,1.0
1HS2_1_A,1.0,1.0,1.0,1.0
1HS3_1_A,1.0,1.0,1.0,1.0
1HS4_1_A,1.0,1.0,1.0,1.0
