,PPV,TPR,F1,INF
7MQ8_L2,0.627,0.804,0.705,0.71
7MQ9_L2,0.59,0.8,0.679,0.687
7MQA_L2,0.672,0.83,0.743,0.747
7QXA_B,0.21,0.288,0.243,0.246
7V9A_R,0.411,0.548,0.469,0.474
7TRD_B,0.198,0.25,0.221,0.222
7BG9_B,0.16,0.244,0.193,0.197
7TRE_B,0.224,0.288,0.252,0.254
7V99_R,0.255,0.381,0.306,0.312
7TRF_B,0.209,0.265,0.234,0.235
7TRC_B,0.571,0.857,0.686,0.7
7BGB_B,0.694,0.893,0.781,0.787
7QXS_B,0.184,0.253,0.213,0.216
7QXB_B,0.186,0.253,0.215,0.217
7DA7_C,0.0,0.0,0.0,0.0
7C7A_A,0.512,0.702,0.592,0.599
7DAS_C,0.0,0.0,0.0,0.0
6W6V_A,0.517,0.713,0.599,0.607
7C79_A,0.516,0.67,0.583,0.588
7ELD_B,0.677,0.955,0.792,0.804
6XRZ_A,0.426,0.8,0.556,0.583
7O7Z_AH,0.667,0.741,0.702,0.703
7KGA_B,0.636,1.0,0.778,0.798
7KGA_A,0.636,1.0,0.778,0.798
7MQ9_L0,0.321,0.426,0.366,0.37
7MQ8_L0,0.347,0.426,0.382,0.384
7MQA_L0,0.0,0.0,0.0,0.0
6VAR_A,0.885,0.958,0.92,0.921
7SAM_A,0.671,0.895,0.767,0.775
7SCQ_C,0.543,0.862,0.667,0.684
7SC6_C,0.612,0.912,0.732,0.747
4C9D_D,0.6,1.0,0.75,0.775
7LYF_A,0.705,0.935,0.804,0.812
6JQ6_U,0.621,0.947,0.75,0.767
5T5A_A,0.414,0.632,0.5,0.511
6TFE_A,0.739,0.944,0.829,0.836
6TF0_A,0.545,0.706,0.615,0.621
6TFH_A,0.545,0.706,0.615,0.621
6TFF_A,0.739,0.944,0.829,0.836
6TFG_A,0.739,0.944,0.829,0.836
6TB7_A,0.739,0.944,0.829,0.836
7D7V_A,0.727,1.0,0.842,0.853
7D7Y_A,0.727,0.941,0.821,0.827
6TF3_A,0.739,0.944,0.829,0.836
6TF1_A,0.739,0.944,0.829,0.836
7D7X_A,0.727,0.941,0.821,0.827
7D82_A,0.85,1.0,0.919,0.922
7D81_A,0.818,1.0,0.9,0.905
7D7W_A,0.727,0.941,0.821,0.827
7D7Z_A,0.727,0.941,0.821,0.827
6TF2_A,0.739,0.944,0.829,0.836
7ELR_B,0.478,1.0,0.647,0.692
7ELS_A,0.5,1.0,0.667,0.707
7ELQ_A,0.478,1.0,0.647,0.692
7ELR_A,0.478,1.0,0.647,0.692
7ELS_B,0.458,1.0,0.629,0.677
7ELQ_B,0.458,1.0,0.629,0.677
7ELP_B,0.458,1.0,0.629,0.677
7ELP_A,0.5,1.0,0.667,0.707
1M5V_E,0.606,0.87,0.714,0.726
1M5K_B,0.556,0.87,0.678,0.695
1M5P_B,0.571,0.87,0.69,0.705
1M5P_E,0.625,0.87,0.727,0.737
1M5O_E,0.606,0.87,0.714,0.726
1M5V_B,0.606,0.87,0.714,0.726
1M5K_E,0.588,0.87,0.702,0.715
1M5O_B,0.588,0.87,0.702,0.715
