,PPV,TPR,F1,INF
7MQ8_L2,0.878,0.947,0.911,0.912
7MQ9_L2,0.875,0.946,0.909,0.91
7MQA_L2,0.86,0.949,0.902,0.904
7QXA_B,0.281,0.273,0.277,0.277
7V9A_R,0.118,0.111,0.114,0.114
7TRD_B,0.403,0.455,0.427,0.428
7BG9_B,0.288,0.279,0.284,0.284
7TRE_B,0.387,0.444,0.414,0.415
7V99_R,0.343,0.365,0.354,0.354
7TRF_B,0.397,0.455,0.424,0.425
7TRC_B,0.962,1.0,0.98,0.981
7BGB_B,0.926,1.0,0.962,0.962
7QXS_B,0.273,0.269,0.271,0.271
7QXB_B,0.273,0.269,0.271,0.271
7DA7_C,0.0,0.0,0.0,0.0
7C7A_A,0.549,0.57,0.559,0.559
7DAS_C,0.0,0.0,0.0,0.0
6W6V_A,0.233,0.266,0.249,0.249
7C79_A,0.568,0.597,0.582,0.582
7ELD_B,0.952,1.0,0.976,0.976
6XRZ_A,0.714,0.833,0.769,0.772
7O7Z_AH,0.692,0.9,0.783,0.789
7KGA_B,0.724,1.0,0.84,0.851
7KGA_A,0.75,0.84,0.792,0.794
7MQ9_L0,0.379,0.373,0.376,0.376
7MQ8_L0,0.379,0.373,0.376,0.376
7MQA_L0,0.0,0.0,0.0,0.0
6VAR_A,0.957,1.0,0.978,0.978
7SAM_A,0.75,0.796,0.772,0.773
7SCQ_C,0.706,0.8,0.75,0.751
7SC6_C,0.698,0.787,0.74,0.741
4C9D_D,0.0,0.0,0.0,0.0
7LYF_A,0.659,0.707,0.682,0.683
6JQ6_U,0.895,0.944,0.919,0.919
5T5A_A,0.286,0.4,0.333,0.338
6TFE_A,0.45,0.643,0.529,0.538
6TF0_A,0.526,0.833,0.645,0.662
6TFH_A,0.526,0.833,0.645,0.662
6TFF_A,0.45,0.643,0.529,0.538
6TFG_A,0.45,0.643,0.529,0.538
6TB7_A,0.45,0.643,0.529,0.538
7D7V_A,0.0,0.0,0.0,0.0
7D7Y_A,0.842,1.0,0.914,0.918
6TF3_A,0.45,0.643,0.529,0.538
6TF1_A,0.45,0.643,0.529,0.538
7D7X_A,0.842,1.0,0.914,0.918
7D82_A,1.0,1.0,1.0,1.0
7D81_A,1.0,1.0,1.0,1.0
7D7W_A,0.842,1.0,0.914,0.918
7D7Z_A,0.842,1.0,0.914,0.918
6TF2_A,0.45,0.643,0.529,0.538
7ELR_B,0.8,1.0,0.889,0.894
7ELS_A,0.6,0.692,0.643,0.645
7ELQ_A,0.6,0.692,0.643,0.645
7ELR_A,0.6,0.692,0.643,0.645
7ELS_B,0.8,1.0,0.889,0.894
7ELQ_B,0.8,1.0,0.889,0.894
7ELP_B,0.8,1.0,0.889,0.894
7ELP_A,0.6,0.692,0.643,0.645
1M5V_E,0.947,0.9,0.923,0.923
1M5K_B,0.944,0.895,0.919,0.919
1M5P_B,0.947,0.9,0.923,0.923
1M5P_E,0.95,0.905,0.927,0.927
1M5O_E,0.952,0.909,0.93,0.93
1M5V_B,0.947,0.9,0.923,0.923
1M5K_E,0.952,0.909,0.93,0.93
1M5O_B,0.95,0.905,0.927,0.927
