,PPV,TPR,F1,INF
7MQ8_L2,0.0,0.0,0.0,0.0
7MQ9_L2,0.0,0.0,0.0,0.0
7MQA_L2,0.017,0.059,0.027,0.032
7QXA_B,0.02,0.125,0.034,0.05
7V9A_R,0.0,0.0,0.0,0.0
7TRD_B,0.0,0.0,0.0,0.0
7BG9_B,0.008,0.05,0.014,0.02
7TRE_B,0.0,0.0,0.0,0.0
7V99_R,0.011,0.038,0.017,0.02
7TRF_B,0.0,0.0,0.0,0.0
7TRC_B,0.0,0.0,0.0,0.0
7BGB_B,0.0,0.0,0.0,0.0
7QXS_B,0.01,0.05,0.016,0.022
7QXB_B,0.01,0.05,0.016,0.022
7DA7_C,0.0,0.0,0.0,0.0
7C7A_A,0.023,0.094,0.037,0.047
7DAS_C,0.0,0.0,0.0,0.0
6W6V_A,0.017,0.069,0.027,0.034
7C79_A,0.032,0.133,0.051,0.065
7ELD_B,0.129,0.381,0.193,0.222
6XRZ_A,0.043,0.133,0.065,0.075
7O7Z_AH,0.0,0.0,0.0,0.0
7KGA_B,0.0,0.0,0.0,0.0
7KGA_A,0.0,0.0,0.0,0.0
7MQ9_L0,0.025,0.111,0.04,0.052
7MQ8_L0,0.027,0.111,0.043,0.054
7MQA_L0,0.0,0.0,0.0,0.0
6VAR_A,0.269,0.7,0.389,0.434
7SAM_A,0.026,0.182,0.046,0.069
7SCQ_C,0.022,0.2,0.039,0.066
7SC6_C,0.024,0.182,0.042,0.065
4C9D_D,0.0,0.0,0.0,0.0
7LYF_A,0.016,0.063,0.026,0.032
6JQ6_U,0.0,0.0,0.0,0.0
5T5A_A,0.207,0.545,0.3,0.336
6TFE_A,0.0,0.0,0.0,0.0
6TF0_A,0.0,0.0,0.0,0.0
6TFH_A,0.0,0.0,0.0,0.0
6TFF_A,0.0,0.0,0.0,0.0
6TFG_A,0.0,0.0,0.0,0.0
6TB7_A,0.0,0.0,0.0,0.0
7D7V_A,0.136,0.429,0.207,0.242
7D7Y_A,0.273,0.429,0.333,0.342
6TF3_A,0.0,0.0,0.0,0.0
6TF1_A,0.0,0.0,0.0,0.0
7D7X_A,0.273,0.429,0.333,0.342
7D82_A,0.05,1.0,0.095,0.224
7D81_A,0.045,1.0,0.087,0.213
7D7W_A,0.273,0.429,0.333,0.342
7D7Z_A,0.273,0.429,0.333,0.342
6TF2_A,0.0,0.0,0.0,0.0
7ELR_B,0.0,0.0,0.0,0.0
7ELS_A,0.0,0.0,0.0,0.0
7ELQ_A,0.0,0.0,0.0,0.0
7ELR_A,0.0,0.0,0.0,0.0
7ELS_B,0.0,0.0,0.0,0.0
7ELQ_B,0.0,0.0,0.0,0.0
7ELP_B,0.0,0.0,0.0,0.0
7ELP_A,0.0,0.0,0.0,0.0
1M5V_E,0.0,0.0,0.0,0.0
1M5K_B,0.0,0.0,0.0,0.0
1M5P_B,0.0,0.0,0.0,0.0
1M5P_E,0.0,0.0,0.0,0.0
1M5O_E,0.0,0.0,0.0,0.0
1M5V_B,0.0,0.0,0.0,0.0
1M5K_E,0.0,0.0,0.0,0.0
1M5O_B,0.0,0.0,0.0,0.0
