,PPV,TPR,F1,INF
7MQ8_L2,0.463,0.543,0.5,0.502
7MQ9_L2,0.45,0.529,0.486,0.488
7MQA_L2,0.465,0.556,0.506,0.508
7QXA_B,0.063,0.073,0.067,0.067
7V9A_R,0.0,0.0,0.0,0.0
7TRD_B,0.226,0.341,0.272,0.278
7BG9_B,0.091,0.109,0.099,0.1
7TRE_B,0.21,0.325,0.255,0.261
7V99_R,0.06,0.08,0.068,0.069
7TRF_B,0.222,0.341,0.269,0.275
7TRC_B,0.808,0.955,0.875,0.878
7BGB_B,0.778,0.955,0.857,0.862
7QXS_B,0.091,0.109,0.099,0.1
7QXB_B,0.091,0.109,0.099,0.1
7DA7_C,0.0,0.0,0.0,0.0
7C7A_A,0.585,0.676,0.627,0.629
7DAS_C,0.0,0.0,0.0,0.0
6W6V_A,0.411,0.521,0.46,0.463
7C79_A,0.605,0.7,0.649,0.651
7ELD_B,0.762,1.0,0.865,0.873
6XRZ_A,0.607,0.85,0.708,0.718
7O7Z_AH,0.654,0.85,0.739,0.745
7KGA_B,0.69,0.952,0.8,0.81
7KGA_A,0.714,0.952,0.816,0.825
7MQ9_L0,0.207,0.25,0.226,0.227
7MQ8_L0,0.207,0.25,0.226,0.227
7MQA_L0,0.0,0.0,0.0,0.0
6VAR_A,0.739,0.85,0.791,0.793
7SAM_A,0.654,0.773,0.708,0.711
7SCQ_C,0.608,0.756,0.674,0.678
7SC6_C,0.623,0.767,0.688,0.691
4C9D_D,0.0,0.0,0.0,0.0
7LYF_A,0.886,0.951,0.918,0.918
6JQ6_U,0.789,1.0,0.882,0.889
5T5A_A,0.571,0.667,0.615,0.617
6TFE_A,0.5,0.667,0.571,0.577
6TF0_A,0.263,0.417,0.323,0.331
6TFH_A,0.263,0.417,0.323,0.331
6TFF_A,0.5,0.667,0.571,0.577
6TFG_A,0.5,0.667,0.571,0.577
6TB7_A,0.5,0.667,0.571,0.577
7D7V_A,0.0,0.0,0.0,0.0
7D7Y_A,0.684,0.929,0.788,0.797
6TF3_A,0.5,0.667,0.571,0.577
6TF1_A,0.5,0.667,0.571,0.577
7D7X_A,0.684,0.929,0.788,0.797
7D82_A,1.0,1.0,1.0,1.0
7D81_A,0.941,0.941,0.941,0.941
7D7W_A,0.684,0.929,0.788,0.797
7D7Z_A,0.684,0.929,0.788,0.797
6TF2_A,0.5,0.667,0.571,0.577
7ELR_B,0.533,1.0,0.696,0.73
7ELS_A,0.533,1.0,0.696,0.73
7ELQ_A,0.533,1.0,0.696,0.73
7ELR_A,0.533,1.0,0.696,0.73
7ELS_B,0.533,1.0,0.696,0.73
7ELQ_B,0.533,1.0,0.696,0.73
7ELP_B,0.533,1.0,0.696,0.73
7ELP_A,0.533,1.0,0.696,0.73
1M5V_E,0.789,0.938,0.857,0.86
1M5K_B,0.778,0.933,0.848,0.852
1M5P_B,0.789,0.938,0.857,0.86
1M5P_E,0.8,0.941,0.865,0.868
1M5O_E,0.81,0.944,0.872,0.874
1M5V_B,0.789,0.938,0.857,0.86
1M5K_E,0.81,0.944,0.872,0.874
1M5O_B,0.8,0.941,0.865,0.868
