,PPV,TPR,F1,INF-MCC
157D_1_A-B,0.25,0.25,0.25,0.25
165D_1_A-B,0.0,0.0,0.0,0.0
17RA_7_A,1.0,1.0,1.0,1.0
1A1T_1_B,0.0,0.0,0.0,0.0
1A3M_1_A-B,0.4,0.4,0.4,0.4
1A4D_1_A-B,0.857,1.0,0.923,0.926
1A4T_1_A,0.0,0.0,0.0,0.0
1A51_3_A,0.857,1.0,0.923,0.926
1A60_1_A,0.0,0.0,0.0,0.0
1A9L_1_A,0.0,0.0,0.0,0.0
1A9N_1_Q,0.0,0.0,0.0,0.0
1A9N_1_R,0.0,0.0,0.0,0.0
1AFX_2_A,1.0,1.0,1.0,1.0
1AJF_1_A,1.0,1.0,1.0,1.0
1AJL_1_A-B,0.5,0.333,0.4,0.408
1AJT_1_A-B,1.0,1.0,1.0,1.0
1AJU_9_A,0.0,0.0,0.0,0.0
1AKX_1_A,0.25,0.25,0.25,0.25
1AM0_2_A,0.0,0.0,0.0,0.0
1ANR_2_A,1.0,1.0,1.0,1.0
1AQO_3_A,0.0,0.0,0.0,0.0
1ARJ_7_N,0.0,0.0,0.0,0.0
1ASY_1_R,0.0,0.0,0.0,0.0
1ASY_1_S,0.0,0.0,0.0,0.0
1ASZ_1_R,0.0,0.0,0.0,0.0
1ASZ_1_S,0.0,0.0,0.0,0.0
1ATO_1_A,0.0,0.0,0.0,0.0
1ATV_1_A,0.0,0.0,0.0,0.0
1ATW_1_A,0.0,0.0,0.0,0.0
1AUD_8_B,0.125,0.125,0.125,0.125
1B23_1_R,0.0,0.0,0.0,0.0
1B36_8_A,0.1,0.5,0.167,0.224
1B7F_1_Q,0.0,0.0,0.0,0.0
1BAU_1_A-B,0.286,0.25,0.267,0.267
1BGZ_1_A,0.2,0.2,0.2,0.2
1BIV_5_A,0.0,0.0,0.0,0.0
1BVJ_1_A,0.0,0.0,0.0,0.0
1BYJ_31_A,0.667,1.0,0.8,0.816
1BZ2_1_A,0.5,1.0,0.667,0.707
1BZ3_1_A,0.5,0.5,0.5,0.5
1BZT_1_A,0.5,1.0,0.667,0.707
1BZU_1_A,0.0,0.0,0.0,0.0
1C04_1_E,0.077,0.167,0.105,0.113
1C04_1_F,0.375,0.75,0.5,0.53
1C0O_1_A,0.333,0.25,0.286,0.289
1C2X_1_C,0.529,0.6,0.563,0.564
1C4L_1_A-B,1.0,1.0,1.0,1.0
1CQ5_1_A,0.417,0.833,0.556,0.589
1CQL_10_A,0.333,0.6,0.429,0.447
1CSL_1_B-A,1.0,1.0,1.0,1.0
1D0T_1_A,0.333,0.333,0.333,0.333
1D0U_14_A,0.333,0.25,0.286,0.289
1D4R_1_B-A,0.0,0.0,0.0,0.0
1D6K_4_B,0.778,0.778,0.778,0.778
1DDY_1_A,0.273,0.375,0.316,0.32
1DDY_1_C,0.222,0.286,0.25,0.252
1DDY_1_E,0.273,0.3,0.286,0.286
1DDY_1_G,0.2,0.25,0.222,0.224
1DFU_1_M-N,0.286,1.0,0.444,0.535
1DK1_1_B,0.625,0.714,0.667,0.668
1DRZ_1_B,0.0,0.0,0.0,0.0
1DUL_1_B,0.667,1.0,0.8,0.816
1DUQ_1_B-A,0.0,0.0,0.0,0.0
1DUQ_1_D-C,0.0,0.0,0.0,0.0
1DUQ_1_F-E,0.0,0.0,0.0,0.0
1DUQ_1_H-G,0.0,0.0,0.0,0.0
1DZ5_1_C-D,0.0,0.0,0.0,0.0
1E4P_8_A,0.167,0.25,0.2,0.204
1E7K_1_C,0.0,0.0,0.0,0.0
1E7K_1_D,0.0,0.0,0.0,0.0
1E8O_1_E,0.0,0.0,0.0,0.0
1E95_14_A,0.0,0.0,0.0,0.0
1EBQ_1_A,0.333,1.0,0.5,0.577
1EBR_1_A,0.667,0.667,0.667,0.667
1EBS_1_A,0.333,1.0,0.5,0.577
1EC6_1_C,0.0,0.0,0.0,0.0
1EC6_1_D,0.0,0.0,0.0,0.0
1EFW_1_C,0.125,0.167,0.143,0.144
1EFW_1_D,0.083,0.125,0.1,0.102
1EHT_3_A,0.154,0.286,0.2,0.21
1EHZ_1_A,0.0,0.0,0.0,0.0
1EI2_9_A,1.0,1.0,1.0,1.0
1EIY_1_C,0.4,0.667,0.5,0.516
1EKZ_4_B,0.25,0.25,0.25,0.25
1ELH_1_B-A,0.286,0.286,0.286,0.286
1ESH_1_A,0.0,0.0,0.0,0.0
1ESY_2_A,0.2,0.25,0.222,0.224
1ET4_1_A,0.222,0.286,0.25,0.252
1ET4_1_B,0.222,0.286,0.25,0.252
1ET4_1_C,0.3,0.429,0.353,0.359
1ET4_1_D,0.25,0.333,0.286,0.289
1ET4_1_E,0.222,0.286,0.25,0.252
1ETF_1_A,0.5,0.5,0.5,0.5
1ETG_14_A,0.4,0.5,0.444,0.447
1EUQ_1_B,0.235,0.444,0.308,0.323
1EUY_1_B,0.286,0.8,0.421,0.478
1EVV_1_A,0.0,0.0,0.0,0.0
1EXD_1_B,0.308,0.8,0.444,0.496
1EXY_1_A,0.2,0.25,0.222,0.224
1F1T_1_A,0.25,1.0,0.4,0.5
1F5G_1_A-B,0.5,0.5,0.5,0.5
1F5H_1_A-B,1.0,1.0,1.0,1.0
1F5U_1_A,0.0,0.0,0.0,0.0
1F5U_1_B,0.0,0.0,0.0,0.0
1F6U_2_B,0.0,0.0,0.0,0.0
1F6X_1_A,0.333,0.333,0.333,0.333
1F6Z_1_A,0.25,0.2,0.222,0.224
1F78_1_A,0.5,0.5,0.5,0.5
1F79_1_A,0.25,0.167,0.2,0.204
1F7F_3_A,0.333,0.25,0.286,0.289
1F7G_1_A,0.333,0.25,0.286,0.289
1F7H_5_A,0.333,0.25,0.286,0.289
1F7I_2_A,0.167,0.125,0.143,0.144
1F7U_1_B,0.0,0.0,0.0,0.0
1F7V_1_B,0.0,0.0,0.0,0.0
1F7Y_1_B,0.625,0.714,0.667,0.668
1F84_10_A,0.083,0.143,0.105,0.109
1F85_1_A,0.0,0.0,0.0,0.0
1F9L_1_A,0.25,1.0,0.4,0.5
1FCW_1_A,0.0,0.0,0.0,0.0
1FCW_1_B,0.0,0.0,0.0,0.0
1FCW_1_C,0.0,0.0,0.0,0.0
1FCW_1_D,0.0,0.0,0.0,0.0
1FCW_1_E,0.0,0.0,0.0,0.0
1FEQ_1_A,0.5,0.5,0.5,0.5
1FEU_1_C-B,0.857,1.0,0.923,0.926
1FEU_1_F-E,0.857,1.0,0.923,0.926
1FFK_1_9,0.235,0.381,0.291,0.299
1FFY_1_T,0.455,0.714,0.556,0.57
1FFZ_1_A,0.046,0.135,0.069,0.079
1FG0_1_A,0.062,0.207,0.095,0.113
1FHK_4_A,0.5,1.0,0.667,0.707
1FIR_1_A,0.0,0.0,0.0,0.0
1FJE_1_A,0.2,0.5,0.286,0.316
1FL8_1_A,0.0,0.0,0.0,0.0
1FMN_1_A,0.25,0.375,0.3,0.306
1FOQ_1_A,0.0,0.0,0.0,0.0
1FOQ_1_B,0.0,0.0,0.0,0.0
1FOQ_1_C,0.0,0.0,0.0,0.0
1FOQ_1_D,0.0,0.0,0.0,0.0
1FOQ_1_E,0.0,0.0,0.0,0.0
1FQZ_1_A,0.167,1.0,0.286,0.408
1FUF_1_A-B,0.0,0.0,0.0,0.0
1FYO_1_A,0.25,0.4,0.308,0.316
1FYP_1_A,0.222,0.222,0.222,0.222
1G1X_1_D-E,0.111,0.25,0.154,0.167
1G1X_1_J-I,0.3,0.375,0.333,0.335
1G2E_1_B,0.0,0.0,0.0,0.0
1G59_1_B,0.25,0.6,0.353,0.387
1G59_1_D,0.214,0.333,0.261,0.267
1G70_1_A,0.333,0.333,0.333,0.333
1GAX_1_C,0.333,0.4,0.364,0.365
1GAX_1_D,0.444,0.571,0.5,0.504
1GID_1_A,0.053,0.143,0.077,0.087
1GID_1_B,0.051,0.167,0.078,0.092
1GRZ_1_A,0.079,0.294,0.125,0.153
1GRZ_1_B,0.058,0.2,0.09,0.107
1GTR_1_B,0.357,0.833,0.5,0.546
1GTS_1_B,0.385,0.833,0.526,0.566
1H3E_1_B,0.133,0.333,0.19,0.211
1H4Q_1_T,0.125,0.2,0.154,0.158
1H4S_1_T,0.222,0.4,0.286,0.298
1HC8_1_C,0.077,0.167,0.105,0.113
1HC8_1_D,0.071,0.167,0.1,0.109
1HJI_1_A,0.0,0.0,0.0,0.0
1HLX_1_A,0.167,0.167,0.167,0.167
1HMH_1_A,0.2,1.0,0.333,0.447
1HMH_1_C,0.2,1.0,0.333,0.447
1HMH_1_E,0.25,1.0,0.4,0.5
1HQ1_1_B,0.667,1.0,0.8,0.816
1HR2_1_A,0.03,0.125,0.049,0.062
1HR2_1_B,0.049,0.143,0.073,0.083
1HS1_1_A,0.5,1.0,0.667,0.707
1HS2_1_A,0.0,0.0,0.0,0.0
1HS3_1_A,0.5,1.0,0.667,0.707
1HS4_1_A,0.0,0.0,0.0,0.0
1HS8_1_A,0.0,0.0,0.0,0.0
1HVU_1_C,0.25,0.5,0.333,0.354
1HVU_1_F,0.25,0.5,0.333,0.354
1HVU_1_I,0.25,0.5,0.333,0.354
1HVU_1_L,0.25,0.5,0.333,0.354
1HWQ_1_A,0.0,0.0,0.0,0.0
1I3X_1_A,0.0,0.0,0.0,0.0
1I3Y_8_A,0.0,0.0,0.0,0.0
1I46_1_A,0.0,0.0,0.0,0.0
1I6U_1_C,0.2,0.25,0.222,0.224
1I6U_1_D,0.2,0.25,0.222,0.224
1I9F_5_A,0.4,0.5,0.444,0.447
1I9V_1_A,0.222,0.4,0.286,0.298
1I9X_1_A-B,0.0,0.0,0.0,0.0
1IBL_1_Y-Z,0.333,0.333,0.333,0.333
