,PPV,TPR,F1,INF
7MQ8_L2,0.0,0.0,0.0,0.0
7MQ9_L2,0.0,0.0,0.0,0.0
7MQA_L2,0.023,0.063,0.034,0.038
7QXA_B,0.031,0.125,0.05,0.063
7V9A_R,0.0,0.0,0.0,0.0
7TRD_B,0.0,0.0,0.0,0.0
7BG9_B,0.015,0.067,0.025,0.032
7TRE_B,0.0,0.0,0.0,0.0
7V99_R,0.015,0.043,0.022,0.025
7TRF_B,0.0,0.0,0.0,0.0
7TRC_B,0.0,0.0,0.0,0.0
7BGB_B,0.0,0.0,0.0,0.0
7QXS_B,0.015,0.067,0.025,0.032
7QXB_B,0.015,0.067,0.025,0.032
7DA7_C,0.0,0.0,0.0,0.0
7C7A_A,0.037,0.1,0.054,0.06
7DAS_C,0.0,0.0,0.0,0.0
6W6V_A,0.022,0.077,0.034,0.041
7C79_A,0.049,0.143,0.073,0.084
7ELD_B,0.19,0.4,0.258,0.276
6XRZ_A,0.071,0.154,0.098,0.105
7O7Z_AH,0.0,0.0,0.0,0.0
7KGA_B,0.0,0.0,0.0,0.0
7KGA_A,0.0,0.0,0.0,0.0
7MQ9_L0,0.034,0.118,0.053,0.064
7MQ8_L0,0.034,0.118,0.053,0.064
7MQA_L0,0.0,0.0,0.0,0.0
6VAR_A,0.304,0.7,0.424,0.462
7SAM_A,0.038,0.222,0.066,0.092
7SCQ_C,0.039,0.222,0.067,0.093
7SC6_C,0.038,0.25,0.066,0.097
4C9D_D,0.0,0.0,0.0,0.0
7LYF_A,0.023,0.063,0.033,0.038
6JQ6_U,0.0,0.0,0.0,0.0
5T5A_A,0.286,0.6,0.387,0.414
6TFE_A,0.0,0.0,0.0,0.0
6TF0_A,0.0,0.0,0.0,0.0
6TFH_A,0.0,0.0,0.0,0.0
6TFF_A,0.0,0.0,0.0,0.0
6TFG_A,0.0,0.0,0.0,0.0
6TB7_A,0.0,0.0,0.0,0.0
7D7V_A,0.158,0.429,0.231,0.26
7D7Y_A,0.316,0.429,0.364,0.368
6TF3_A,0.0,0.0,0.0,0.0
6TF1_A,0.0,0.0,0.0,0.0
7D7X_A,0.316,0.429,0.364,0.368
7D82_A,0.063,1.0,0.118,0.25
7D81_A,0.059,1.0,0.111,0.243
7D7W_A,0.316,0.429,0.364,0.368
7D7Z_A,0.316,0.429,0.364,0.368
6TF2_A,0.0,0.0,0.0,0.0
7ELR_B,0.0,0.0,0.0,0.0
7ELS_A,0.0,0.0,0.0,0.0
7ELQ_A,0.0,0.0,0.0,0.0
7ELR_A,0.0,0.0,0.0,0.0
7ELS_B,0.0,0.0,0.0,0.0
7ELQ_B,0.0,0.0,0.0,0.0
7ELP_B,0.0,0.0,0.0,0.0
7ELP_A,0.0,0.0,0.0,0.0
1M5V_E,0.0,0.0,0.0,0.0
1M5K_B,0.0,0.0,0.0,0.0
1M5P_B,0.0,0.0,0.0,0.0
1M5P_E,0.0,0.0,0.0,0.0
1M5O_E,0.0,0.0,0.0,0.0
1M5V_B,0.0,0.0,0.0,0.0
1M5K_E,0.0,0.0,0.0,0.0
1M5O_B,0.0,0.0,0.0,0.0
