,PPV,TPR,F1,INF
6PIJ_1_1,0.333,0.286,0.308,0.309
5IB7_1_3L,0.611,0.957,0.746,0.765
1L2X_1_A,0.5,0.889,0.64,0.667
5D8H_1_A,0.368,0.778,0.5,0.535
6Y2L_1_B4,0.737,1.0,0.848,0.858
5ZQ8_1_D,1.0,1.0,1.0,1.0
6QW6_1_5,0.732,1.0,0.845,0.855
1E7K_1_C,0.429,1.0,0.6,0.655
7REX_1_A,0.217,1.0,0.357,0.466
5D5L_1_A,0.474,0.9,0.621,0.653
4JRC_1_B,0.69,1.0,0.816,0.83
1MJI_1_D,0.529,1.0,0.692,0.728
6R5Q_1_3,0.839,1.0,0.912,0.916
5B63_1_D,0.667,1.0,0.8,0.816
7ONU_1_T,0.821,0.958,0.885,0.887
2Y9H_1_H,1.0,1.0,1.0,1.0
6F4H_1_B,0.857,1.0,0.923,0.926
6TQB_1_B,0.875,1.0,0.933,0.935
6E8S_1_A,0.286,0.8,0.421,0.478
7A9X_1_B,0.0,0.0,0.0,0.0
7K16_1_P,0.292,0.636,0.4,0.431
5F5H_1_D,0.5,0.857,0.632,0.655
7CPU_1_L7,0.672,0.915,0.775,0.784
4QIL_1_C,1.0,1.0,1.0,1.0
6PMO_1_A,0.731,0.905,0.809,0.813
6AZ3_1_6,0.571,0.889,0.696,0.713
7JRR_1_A,0.176,0.375,0.24,0.257
6DLR_1_A,0.379,1.0,0.55,0.616
4X4N_1_D,0.643,1.0,0.783,0.802
5NDI_1_B,0.5,0.571,0.533,0.535
2DRA_1_B,1.0,1.0,1.0,1.0
2BH2_1_D,0.714,1.0,0.833,0.845
6N2V_1_A,0.622,0.933,0.747,0.762
4PRF_1_B,0.237,0.643,0.346,0.39
6XRQ_1_B,0.0,0.0,0.0,0.0
3EPH_1_E,0.706,1.0,0.828,0.84
6KYV_1_G,1.0,1.0,1.0,1.0
6UFG_1_B,0.839,1.0,0.912,0.916
2JLT_1_A,0.143,0.5,0.222,0.267
6LTU_1_B,0.833,1.0,0.909,0.913
4AY2_1_C,0.875,1.0,0.933,0.935
6WJR_1_X,0.5,1.0,0.667,0.707
3LA5_1_A,0.622,0.958,0.754,0.772
6P7M_1_B,0.556,1.0,0.714,0.745
3IEV_1_D,0.0,0.0,0.0,0.0
7OIF_1_z,0.561,0.852,0.676,0.691
5F5F_1_B,1.0,1.0,1.0,1.0
3D0U_1_A,0.524,0.978,0.682,0.716
5BTM_1_A,0.591,1.0,0.743,0.769
3DIL_1_A,0.553,0.981,0.707,0.737
5H9F_1_L,0.625,0.833,0.714,0.722
5MSF_1_R,0.714,1.0,0.833,0.845
6XRQ_1_A,0.0,0.0,0.0,0.0
4Z0C_1_C,0.0,0.0,0.0,0.0
5WWF_1_B,0.0,0.0,0.0,0.0
4IFD_1_R,0.5,0.5,0.5,0.5
6P2H_1_A,0.361,0.722,0.481,0.511
4Z31_1_E,0.833,1.0,0.909,0.913
4FRG_1_B,0.541,0.952,0.69,0.717
2ZY6_1_A,0.438,0.583,0.5,0.505
7L0Z_1_G,0.514,1.0,0.679,0.717
2Y9H_1_N,1.0,1.0,1.0,1.0
7P48_1_5,0.71,0.917,0.8,0.807
5M0H_1_A,0.789,0.938,0.857,0.86
5VW1_1_C,0.625,0.789,0.698,0.702
1JID_1_B,0.4,0.571,0.471,0.478
5D0A_1_F,0.833,1.0,0.909,0.913
6QW6_1_4,0.545,0.818,0.655,0.668
6DU4_1_B,0.7,0.778,0.737,0.738
3AKZ_1_E,0.676,1.0,0.806,0.822
2Y8Y_1_B,1.0,1.0,1.0,1.0
6T4Q_1_7,0.676,0.92,0.78,0.789
6YL5_1_I,0.667,0.857,0.75,0.756
6JJH_1_B,0.0,0.0,0.0,0.0
7JIL_1_3,0.617,0.974,0.755,0.775
4AOB_1_A,0.326,0.714,0.448,0.483
4RUM_1_A,0.725,0.967,0.829,0.837
1SER_1_T,0.308,0.444,0.364,0.37
2ZZM_1_B,0.5,0.833,0.625,0.645
3HAX_1_E,0.905,1.0,0.95,0.951
1U1Y_1_R,0.857,1.0,0.923,0.926
2XDB_1_G,0.25,0.571,0.348,0.378
4LX6_1_A,0.575,0.958,0.719,0.742
7NQ4_1_C,1.0,1.0,1.0,1.0
6AJK_1_B,0.857,1.0,0.923,0.926
3OVB_1_C,1.0,1.0,1.0,1.0
6SZV_1_V,0.5,1.0,0.667,0.707
2ANN_1_B,0.0,0.0,0.0,0.0
6YYM_1_B,0.0,0.0,0.0,0.0
5E81_1_3L,0.629,1.0,0.772,0.793
3GS5_1_A,0.667,0.8,0.727,0.73
7OX8_1_A,0.818,1.0,0.9,0.905
4LGT_1_E,0.571,0.8,0.667,0.676
7EU9_1_B,0.714,1.0,0.833,0.845
4K50_1_B,0.875,1.0,0.933,0.935
5T5A_1_A,0.414,0.8,0.545,0.575
2Y9H_1_J,1.0,1.0,1.0,1.0
5UDZ_1_W,0.857,1.0,0.923,0.926
4QLM_1_A,0.604,1.0,0.753,0.777
6SKG_1_BB,0.612,0.911,0.732,0.747
3NVI_1_F,0.571,0.8,0.667,0.676
4JXZ_1_B,0.742,1.0,0.852,0.861
5NDH_1_A,0.0,0.0,0.0,0.0
3NPQ_1_A,0.167,0.571,0.258,0.309
6O16_1_C,0.0,0.0,0.0,0.0
6ERI_1_AB,0.125,0.417,0.192,0.228
2QUW_1_B,0.524,0.917,0.667,0.693
6UFM_1_B,0.553,0.929,0.693,0.717
5WTI_1_B,0.578,0.963,0.722,0.746
2A43_1_A,0.467,0.875,0.609,0.639
6JQ6_1_U,0.517,1.0,0.682,0.719
4TUW_1_C,1.0,1.0,1.0,1.0
6AAY_1_B,0.786,1.0,0.88,0.886
7KGB_1_B,0.639,0.975,0.772,0.79
1B23_1_R,0.563,1.0,0.72,0.75
5UD5_1_C,0.806,1.0,0.893,0.898
6ZP4_1_1,0.714,0.962,0.82,0.829
6TB3_1_n,0.667,1.0,0.8,0.816
6TC3_1_PTR1,0.172,0.217,0.192,0.194
6MWN_1_B,0.634,0.788,0.703,0.707
5X2G_1_B,0.583,0.808,0.677,0.686
6ERI_1_Ax,0.617,0.925,0.74,0.755
6DVK_1_H,0.733,0.971,0.835,0.844
5WLH_1_B,0.667,1.0,0.8,0.816
6LT7_1_C,1.0,1.0,1.0,1.0
6AAX_1_B,0.923,1.0,0.96,0.961
2ASB_1_B,0.0,0.0,0.0,0.0
5MGA_1_B,0.5,0.833,0.625,0.645
4JF2_1_A,0.75,1.0,0.857,0.866
4V99_1_C2,0.8,1.0,0.889,0.894
5SWD_1_B,0.462,0.947,0.621,0.661
3KFU_1_L,0.735,1.0,0.847,0.857
4ZT0_1_D,0.652,0.833,0.732,0.737
5M0I_1_E,1.0,1.0,1.0,1.0
3BT7_1_D,1.0,1.0,1.0,1.0
7KI3_1_C,0.75,1.0,0.857,0.866
6RJA_1_D,0.458,0.733,0.564,0.58
5T5H_1_D,0.446,1.0,0.617,0.668
1IL2_1_C,0.594,0.905,0.717,0.733
6DCC_1_B,0.727,1.0,0.842,0.853
5M0I_1_F,1.0,1.0,1.0,1.0
3G9C_1_Q,0.542,0.97,0.696,0.725
6CFJ_1_1x,0.846,0.957,0.898,0.9
