,PPV,TPR,F1,INF
7A01_d2,0.556,0.972,0.707,0.735
7A09_f,0.571,0.952,0.714,0.738
7A0R_Y,0.565,1.0,0.722,0.751
7A0S_Y,0.596,0.971,0.739,0.761
7A18_Y,0.533,0.914,0.674,0.698
7A5F_24,0.195,0.4,0.262,0.279
7A5F_C,0.195,0.4,0.262,0.279
7A5G_24,0.175,0.368,0.237,0.254
7A5G_C,0.175,0.368,0.237,0.254
7A5G_j,0.474,0.947,0.632,0.67
7A5H_24,0.179,0.35,0.237,0.251
7A5I_94,0.194,0.368,0.255,0.268
7A5I_99,0.219,0.368,0.275,0.284
7A5I_X,0.194,0.35,0.25,0.261
7A5J_G,0.175,0.368,0.237,0.254
7A5J_x,0.175,0.368,0.237,0.254
7A5K_24,0.179,0.35,0.237,0.251
7A5K_FE,0.179,0.35,0.237,0.251
7A5P_2,0.558,0.828,0.667,0.68
7ABF_6,0.467,0.583,0.519,0.522
7ABG_5,0.714,0.938,0.811,0.818
7ABI_5,0.683,0.875,0.767,0.773
7ABZ_3,0.603,1.0,0.753,0.777
7ABZ_7,0.375,0.667,0.48,0.5
7AC7_3,0.6,0.947,0.735,0.754
7AC7_7,0.385,0.526,0.444,0.45
7ACJ_3,0.576,0.919,0.708,0.728
7ACR_3,0.603,0.921,0.729,0.746
7AJT_D4,0.282,0.5,0.361,0.376
7AOR_A,0.048,0.059,0.053,0.053
7AQC_B,0.561,1.0,0.719,0.749
7AQC_T,0.656,1.0,0.792,0.81
7AQD_B,0.561,1.0,0.719,0.749
7AQD_T,0.618,1.0,0.764,0.786
7AS8_B,0.552,1.0,0.711,0.743
7AS9_2,0.553,1.0,0.712,0.743
7AS9_B,0.492,1.0,0.66,0.702
7ASA_A,0.387,0.6,0.471,0.482
7ASM_B,0.5,1.0,0.667,0.707
7ASN_B,0.232,0.464,0.31,0.328
7ASO_C,0.091,0.167,0.118,0.123
7ASP_3,0.213,0.382,0.274,0.285
7AZY_F,0.547,0.972,0.7,0.729
7B0Y_a,0.587,0.755,0.661,0.666
7B5K_9,0.622,0.92,0.742,0.756
7B5K_B,0.607,0.974,0.747,0.769
7B5K_x,0.645,1.0,0.784,0.803
7B5K_z,0.618,1.0,0.764,0.786
7B7D_LB,0.565,0.972,0.714,0.741
7B7D_Sm,0.765,0.929,0.839,0.843
7B7D_Sn,0.735,0.926,0.82,0.825
7B9V_5,0.329,0.511,0.4,0.41
7BG9_B,0.311,0.578,0.404,0.424
7BGB_B,0.5,0.667,0.571,0.577
7BHP_L7,0.538,0.972,0.693,0.724
7BL2_B,0.61,0.947,0.742,0.76
7BL3_B,0.617,0.974,0.755,0.775
7BL4_B,0.607,0.974,0.747,0.769
7BL5_B,0.569,0.868,0.688,0.703
7BL6_B,0.597,0.974,0.74,0.762
7BT6_3,0.518,0.829,0.637,0.655
7BTB_3,0.525,0.886,0.66,0.682
7BV8_B,0.607,0.974,0.747,0.769
7C79_A,0.524,0.733,0.611,0.62
7C7A_A,0.488,0.708,0.578,0.588
7CHD_I,0.8,0.952,0.87,0.873
7CHD_J,0.769,0.952,0.851,0.856
7CPJ_9,0.636,1.0,0.778,0.798
7CPJ_B,0.581,0.947,0.72,0.742
7CPU_L7,0.547,0.972,0.7,0.729
7CPV_L7,0.547,0.972,0.7,0.729
7D4I_3A,0.432,0.696,0.533,0.548
7D6Z_2,0.421,0.727,0.533,0.553
7D6Z_3,0.581,0.947,0.72,0.742
7D6Z_4,0.607,0.773,0.68,0.685
7D6Z_B,0.556,1.0,0.714,0.745
7D7V_A,0.727,0.842,0.78,0.783
7D80_a,0.486,1.0,0.654,0.697
7D80_X,0.303,0.5,0.377,0.389
7D80_y,0.5,0.833,0.625,0.645
7D80_Z,0.429,0.6,0.5,0.507
7DCO_B,0.286,0.417,0.339,0.345
7E8O_X,0.515,0.81,0.63,0.646
7EAF_A,0.711,0.889,0.79,0.795
7ELP_A,0.545,0.857,0.667,0.684
7ELP_B,0.5,0.857,0.632,0.655
7ELQ_A,0.522,0.857,0.649,0.669
7ELQ_B,0.5,0.857,0.632,0.655
7ELR_A,0.522,0.857,0.649,0.669
7ELR_B,0.522,0.857,0.649,0.669
7ELS_A,0.545,0.857,0.667,0.684
7ELS_B,0.5,0.857,0.632,0.655
7EQJ_A,0.765,1.0,0.867,0.874
7EQJ_B,0.765,1.0,0.867,0.874
7EZ0_N,0.502,0.815,0.622,0.64
7F36_E,0.528,1.0,0.691,0.726
7F36_F,0.656,1.0,0.792,0.81
7F36_G,0.618,1.0,0.764,0.786
7JIL_3,0.5,1.0,0.667,0.707
7JQC_i,0.306,0.71,0.427,0.466
7JQL_1B,0.529,1.0,0.692,0.728
7JQL_1x,0.741,1.0,0.851,0.861
7JQL_2B,0.508,0.917,0.653,0.682
7JQL_2x,0.714,1.0,0.833,0.845
7JQM_1B,0.522,1.0,0.686,0.722
7JQM_1x,0.769,1.0,0.87,0.877
7JQM_2B,0.522,1.0,0.686,0.723
7JQM_2x,0.741,1.0,0.851,0.861
7JQQ_K,0.462,0.769,0.577,0.596
7JQQ_L,0.452,0.718,0.554,0.569
7JQQ_M,0.475,0.718,0.571,0.584
7JQQ_N,0.448,0.732,0.556,0.572
7JQQ_O,0.406,0.684,0.51,0.527
7JSS_2,0.627,0.974,0.763,0.781
7JSS_5,0.606,1.0,0.755,0.778
7JSW_2,0.597,0.974,0.74,0.762
7JSW_5,0.588,1.0,0.741,0.767
7JSZ_2,0.621,0.973,0.758,0.777
7JSZ_5,0.606,1.0,0.755,0.778
7JT1_2,0.581,0.947,0.72,0.742
7JT1_5,0.69,1.0,0.816,0.83
7JT2_2,0.61,0.973,0.75,0.771
7JT2_5,0.606,1.0,0.755,0.778
7JT3_2,0.6,0.947,0.735,0.754
7JT3_5,0.645,1.0,0.784,0.803
7K00_b,0.578,0.974,0.725,0.75
7K00_Y,0.583,1.0,0.737,0.764
7K00_Z,0.625,1.0,0.769,0.791
7K50_2,0.597,0.974,0.74,0.762
7K50_5,0.645,1.0,0.784,0.803
7K50_6,0.633,0.95,0.76,0.776
7K50_7,0.6,1.0,0.75,0.775
7K51_2,0.649,1.0,0.787,0.806
7K51_5,0.625,0.952,0.755,0.772
7K51_6,0.645,1.0,0.784,0.803
7K52_2,0.638,0.974,0.771,0.788
7K52_5,0.656,1.0,0.792,0.81
7K52_6,0.645,1.0,0.784,0.803
7K53_2,0.607,0.974,0.747,0.769
7K53_5,0.645,1.0,0.784,0.803
7K53_6,0.655,0.95,0.776,0.789
7K53_7,0.583,1.0,0.737,0.764
7K54_2,0.607,0.974,0.747,0.769
7K54_5,0.583,1.0,0.737,0.764
7K54_6,0.606,1.0,0.755,0.778
7K55_2,0.587,0.974,0.733,0.756
7K55_5,0.6,1.0,0.75,0.775
7K55_6,0.556,1.0,0.714,0.745
7K98_C,0.6,1.0,0.75,0.775
7K98_F,0.583,1.0,0.737,0.764
7KD1_A,0.814,0.946,0.875,0.877
7KGA_A,0.485,0.889,0.627,0.656
7KGA_B,0.515,0.895,0.654,0.679
7KGB_B,0.508,1.0,0.674,0.713
7KGB_y,0.588,1.0,0.741,0.767
7LH5_AW,0.419,0.65,0.51,0.522
7LH5_BB,0.522,1.0,0.686,0.723
7LH5_CW,0.324,0.5,0.393,0.402
7LH5_DB,0.522,1.0,0.686,0.723
7LJ3_A,0.477,1.0,0.646,0.691
7LJ3_B,0.488,1.0,0.656,0.699
7LJ3_C,0.5,1.0,0.667,0.707
7LMB_B,0.554,0.795,0.653,0.663
7LS1_B2,0.55,0.917,0.688,0.71
7LS2_B2,0.532,0.917,0.673,0.699
7LV0_2,0.638,0.974,0.771,0.788
7LV0_5,0.656,1.0,0.792,0.81
7LV0_6,0.645,1.0,0.784,0.803
7LVA_A,0.571,0.923,0.706,0.726
7LVK_J,0.583,1.0,0.737,0.764
7LYF_A,0.705,0.896,0.789,0.795
7M4V_B,0.534,0.969,0.689,0.72
7M4W_B,0.533,1.0,0.696,0.73
7M4X_B,0.517,0.938,0.667,0.696
7M4X_v,0.625,1.0,0.769,0.791
7M4Y_B,0.542,1.0,0.703,0.736
7M4Y_v,0.667,1.0,0.8,0.816
7M4Z_B,0.554,0.969,0.705,0.732
7MD7_1B,0.53,1.0,0.693,0.728
7MD7_2B,0.565,1.0,0.722,0.751
7MDZ_2,0.697,1.0,0.821,0.835
7MDZ_7,0.565,0.972,0.714,0.741
7MQ8_L0,0.307,0.418,0.354,0.358
7MQ8_L2,0.441,0.578,0.5,0.505
7MQ9_L0,0.284,0.418,0.338,0.345
7MQ9_L2,0.41,0.568,0.476,0.483
7MQA_L2,0.569,0.767,0.653,0.661
7MRL_A,0.595,1.0,0.746,0.771
7MSC_B,0.5,0.968,0.659,0.696
7MSC_y,0.588,1.0,0.741,0.767
7MSH_B,0.5,0.935,0.652,0.684
7MSH_y,0.559,0.95,0.704,0.729
7MSM_B,0.476,0.968,0.638,0.679
7MSM_y,0.606,1.0,0.755,0.778
7MSZ_B,0.547,0.935,0.69,0.715
7MSZ_y,0.571,1.0,0.727,0.756
7MT2_B,0.5,0.968,0.659,0.696
7MT2_y,0.571,1.0,0.727,0.756
7MT3_B,0.5,1.0,0.667,0.707
7MT3_y,0.571,1.0,0.727,0.756
7MT7_B,0.469,0.968,0.632,0.674
7MT7_x,0.588,1.0,0.741,0.767
7MT7_y,0.571,1.0,0.727,0.756
7N1P_5,0.578,0.974,0.725,0.75
7N1P_Dt,0.556,0.938,0.698,0.722
7N2C_5,0.607,0.974,0.747,0.769
7N2C_Dt,0.621,0.9,0.735,0.747
7N2U_5,0.561,0.974,0.712,0.739
7N2U_Dt,0.643,0.9,0.75,0.761
7N2U_Pt,0.69,1.0,0.816,0.83
7N2V_5,0.578,0.974,0.725,0.75
7N2V_Dt,0.643,0.9,0.75,0.761
7N2V_Pt,0.548,0.81,0.654,0.666
7N30_5,0.587,0.974,0.733,0.756
7N30_Dt,0.643,0.9,0.75,0.761
7N31_5,0.587,0.974,0.733,0.756
7N31_Dt,0.484,0.938,0.638,0.674
7N31_Pt,0.667,1.0,0.8,0.816
7NBU_b,0.607,0.974,0.747,0.769
7NBU_V,0.677,1.0,0.808,0.823
7NFX_1,0.328,0.543,0.409,0.422
7NFX_7,0.593,0.972,0.737,0.759
7NHK_B,0.333,0.656,0.442,0.468
7NHL_B,0.557,1.0,0.716,0.747
7NHM_B,0.557,1.0,0.716,0.747
7NHN_B,0.422,0.73,0.535,0.555
7NRC_LB,0.538,0.972,0.693,0.724
7NRC_Sm,0.611,1.0,0.759,0.782
7NRC_Sn,0.788,0.929,0.852,0.855
7NRD_LB,0.547,0.972,0.7,0.729
7NRD_Sm,0.606,1.0,0.755,0.778
7NRD_Sn,0.667,0.929,0.776,0.787
7NSO_8,0.694,1.0,0.82,0.833
7NSO_B,0.578,0.974,0.725,0.75
7NSP_8,0.625,1.0,0.769,0.791
7NSP_B,0.578,0.974,0.725,0.75
7NSP_v,0.656,1.0,0.792,0.81
7NSQ_8,0.641,1.0,0.781,0.801
