,PPV,TPR,F1,INF
6YWE_1_bb,0.618,1.0,0.764,0.786
6P7M_1_B,0.0,0.0,0.0,0.0
4N0T_1_B,0.059,0.2,0.091,0.108
2PJP_1_B,0.143,0.25,0.182,0.189
4XNR_1_X,0.0,0.0,0.0,0.0
2XLK_1_C,0.0,0.0,0.0,0.0
2XDB_1_G,0.0,0.0,0.0,0.0
6SKG_1_BB,0.418,1.0,0.589,0.646
5MGA_1_B,0.0,0.0,0.0,0.0
4K27_1_U,0.095,0.2,0.129,0.138
3BT7_1_D,0.4,0.667,0.5,0.516
361D_1_A,0.0,0.0,0.0,0.0
5E81_1_1K,0.094,0.214,0.13,0.142
7AS8_1_2,0.474,0.5,0.486,0.487
3K1V_1_A,0.0,0.0,0.0,0.0
4FEN_1_B,0.095,0.222,0.133,0.145
4V8D_1_CD,0.364,0.941,0.525,0.585
3NVI_1_F,0.667,0.667,0.667,0.667
7MSF_1_R,0.0,0.0,0.0,0.0
3X1L_1_I,0.0,0.0,0.0,0.0
4KR6_1_D,0.0,0.0,0.0,0.0
6IFN_1_N,0.0,0.0,0.0,0.0
2Y8W_1_B,1.0,0.333,0.5,0.577
3RKF_1_C,0.053,0.091,0.067,0.069
5NFV_1_B,0.0,0.0,0.0,0.0
1U1Y_1_R,0.0,0.0,0.0,0.0
6LT7_1_C,0.0,0.0,0.0,0.0
7MLW_1_F,0.0,0.0,0.0,0.0
6YDP_1_AV,0.167,0.5,0.25,0.289
7OLC_1_3,0.526,0.69,0.597,0.602
3HAX_1_E,0.0,0.0,0.0,0.0
2ZZM_1_B,0.833,0.789,0.811,0.811
2OIU_1_Q,0.0,0.0,0.0,0.0
6UGI_1_A,0.091,0.2,0.125,0.135
1B7F_1_Q,0.0,0.0,0.0,0.0
5B2T_1_A,0.053,0.25,0.087,0.115
7ODF_1_F,0.0,0.0,0.0,0.0
5WTI_1_B,0.036,0.077,0.049,0.052
7OJN_1_D,0.0,0.0,0.0,0.0
1E7K_1_C,0.0,0.0,0.0,0.0
5AH5_1_D,0.316,0.462,0.375,0.382
6DVK_1_H,0.0,0.0,0.0,0.0
6Y2L_1_B4,0.553,1.0,0.712,0.743
3MIJ_1_A,0.0,0.0,0.0,0.0
5U30_1_B,0.0,0.0,0.0,0.0
5DH6_1_A,0.0,0.0,0.0,0.0
1ZBH_1_F,0.2,0.333,0.25,0.258
4X4V_1_B,0.1,0.167,0.125,0.129
7DCO_1_B,0.0,0.0,0.0,0.0
4C8Z_1_C,0.0,0.0,0.0,0.0
3GS5_1_A,0.0,0.0,0.0,0.0
3NPQ_1_A,0.059,0.143,0.083,0.092
5M0I_1_E,0.167,1.0,0.286,0.408
4QQB_1_P,0.0,0.0,0.0,0.0
2F8K_1_B,0.2,1.0,0.333,0.447
7OIF_1_z,0.571,0.667,0.615,0.617
3AKZ_1_E,0.696,0.762,0.727,0.728
3MJA_1_B,0.2,0.286,0.235,0.239
