,PPV,TPR,F1,INF
1M5K_E,0.567,0.895,0.694,0.712
1M5O_B,0.552,0.889,0.681,0.7
1M5O_E,0.519,0.824,0.636,0.653
1M5P_B,0.519,0.824,0.636,0.653
1M5P_E,0.519,0.778,0.622,0.635
1M5V_B,0.519,0.824,0.636,0.653
1M5V_E,0.567,1.0,0.723,0.753
4C9D_D,0.0,0.0,0.0,0.0
6LQM_5,,,,
6LSR_5,,,,
6LSS_5,,,,
6LU8_5,,,,
6LVR_B,0.429,0.6,0.5,0.507
6LVR_D,0.429,0.6,0.5,0.507
6M62_3,,,,
6NSH_RB,,,,
6NSH_YB,,,,
6NTA_RB,,,,
6NTA_YB,,,,
6NUO_QV,,,,
6NUO_RB,,,,
6NUO_XV,,,,
6NUO_YB,,,,
6NWY_QV,,,,
6NWY_RB,,,,
6NWY_XV,,,,
6NWY_YB,,,,
6O3M_QV,,,,
6O3M_RB,,,,
6O3M_XV,,,,
6O3M_YB,,,,
6O8W_B,,,,
6O8X_B,,,,
6O8Y_B,,,,
6O8Z_B,,,,
6O90_B,,,,
6OF6_QV,,,,
6OF6_QW,,,,
6OF6_RB,,,,
6OF6_XV,,,,
6OF6_XW,,,,
6OF6_YB,,,,
6OIG_7,,,,
6OJ2_QV,,,,
6OJ2_QW,,,,
6OJ2_RB,,,,
6OJ2_XV,,,,
6OJ2_XW,,,,
6OJ2_YB,,,,
6OM6_3,,,,
6OM6_5,,,,
6OPE_QV,,,,
6OPE_RB,,,,
6OPE_XV,,,,
6OPE_YB,,,,
6ORD_QV,,,,
6ORD_RB,,,,
6ORD_XV,,,,
6ORD_YB,,,,
6OSI_RB,,,,
6OSI_YB,,,,
6PC5_J,,,,
6PC6_J,,,,
6PC7_J,,,,
6PC8_J,,,,
6PCH_J,,,,
6PCQ_J,,,,
6PCR_J,,,,
6PCS_J,,,,
6PCT_J,,,,
6SKF_BB,,,,
6SKG_BB,,,,
6SWA_s,,,,
6TF0_A,,,,
6TFH_A,,,,
6TH6_BB,,,,
6TNN_V,,,,
6TPQ_V,,,,
6UBU_B,0.682,0.882,0.769,0.776
6UC7_B,0.667,0.875,0.757,0.764
6UC8_B,0.714,0.833,0.769,0.772
6UC9_B,0.652,0.882,0.75,0.759
6VU3_B,,,,
6VU3_d,,,,
6VWL_3,,,,
6VWL_4,0.4,0.2,0.267,0.283
6VWL_5,,,,
6VWM_3,,,,
6VWM_4,0.429,0.3,0.353,0.359
6VWM_5,0.476,0.667,0.556,0.563
6VWN_3,,,,
6VWN_4,0.375,0.3,0.333,0.335
6VWN_5,0.455,0.625,0.526,0.533
6VWT_B,0.8,0.8,0.8,0.8
6VWV_B,0.762,0.842,0.8,0.801
6VYQ_B,,,,
6VYQ_d,,,,
6VYR_B,,,,
6VYR_d,,,,
6VYS_B,,,,
6VYS_d,,,,
6VYT_B,,,,
6VYT_d,,,,
6VYU_B,,,,
6VYU_d,,,,
6VYW_B,,,,
6VYW_d,,,,
6VYX_B,,,,
6VYX_d,,,,
6VYY_B,,,,
6VYY_d,,,,
6VYZ_B,,,,
6VYZ_d,,,,
6VZ2_B,,,,
6VZ2_d,,,,
6VZ3_B,,,,
6VZ3_d,,,,
6VZ5_B,,,,
6VZ5_d,,,,
6VZ7_B,,,,
6VZ7_d,,,,
6VZJ_B,,,,
6VZJ_d,,,,
6W6L_E,,,,
6W6L_v,0.455,0.588,0.513,0.517
6W6P_B,,,,
6WD0_2,,,,
6WD0_5,,,,
6WD0_6,,,,
6WD1_2,,,,
6WD1_5,,,,
6WD2_2,,,,
6WD2_5,,,,
6WD2_6,,,,
6WD2_7,0.522,0.667,0.585,0.59
6WD3_2,,,,
6WD3_5,,,,
6WD3_6,,,,
6WD3_7,0.591,0.722,0.65,0.653
6WD4_2,,,,
6WD4_5,,,,
6WD4_6,,,,
6WD4_7,0.545,0.667,0.6,0.603
6WD5_2,,,,
6WD5_5,,,,
6WD5_6,,,,
6WD5_7,0.5,0.556,0.526,0.527
6WD6_2,,,,
6WD6_5,,,,
6WD6_6,,,,
6WD6_7,0.611,0.647,0.629,0.629
6WD7_2,,,,
6WD7_5,,,,
6WD7_6,,,,
6WD7_7,0.55,0.611,0.579,0.58
6WD8_2,,,,
6WD8_5,,,,
6WD8_6,,,,
6WD8_7,0.526,0.588,0.556,0.556
6WD9_2,,,,
6WD9_5,,,,
6WD9_6,,,,
6WD9_7,0.65,0.684,0.667,0.667
6WDA_2,,,,
6WDA_5,,,,
6WDA_6,,,,
6WDA_7,0.6,0.632,0.615,0.616
6WDB_2,,,,
6WDB_5,,,,
6WDB_6,,,,
6WDB_7,,,,
6WDC_2,,,,
6WDC_5,,,,
6WDC_6,,,,
6WDC_7,,,,
6WDD_2,,,,
6WDD_5,,,,
6WDD_6,,,,
6WDD_7,0.571,0.667,0.615,0.617
6WDE_2,,,,
6WDE_5,,,,
6WDE_6,,,,
6WDE_7,0.524,0.611,0.564,0.566
6WDF_2,,,,
6WDF_5,,,,
6WDF_7,0.556,0.556,0.556,0.556
6WDG_2,,,,
6WDG_5,,,,
6WDG_7,0.5,0.588,0.541,0.542
6WDH_2,,,,
6WDH_5,,,,
6WDH_6,,,,
6WDH_7,,,,
6WDI_2,,,,
6WDI_5,,,,
6WDI_6,,,,
6WDI_7,,,,
6WDJ_2,,,,
6WDJ_5,,,,
6WDJ_6,,,,
6WDJ_7,0.545,0.667,0.6,0.603
6WDK_2,,,,
6WDK_5,,,,
6WDK_6,,,,
6WDK_7,0.619,0.722,0.667,0.669
6WDL_2,,,,
6WDL_5,,,,
6WDL_6,,,,
6WDL_7,0.524,0.611,0.564,0.566
6WDM_2,,,,
6WDM_5,,,,
6WDM_6,,,,
6WDM_7,0.524,0.647,0.579,0.582
6WJR_X,,,,
6WJS_X,,,,
6WNW_5,,,,
6WNW_7,0.458,0.611,0.524,0.529
6WOO_3,,,,
6WOO_7,,,,
6WQN_2,,,,
6WQQ_2,,,,
6WRS_2,,,,
6WRU_2,,,,
6WU9_B,,,,
6WYV_J,,,,
6WZR_A,0.579,0.733,0.647,0.652
6WZR_B,0.353,0.667,0.462,0.485
6WZS_B,0.333,0.545,0.414,0.426
6X6T_B,,,,
6X6T_d,,,,
6X7F_B,,,,
6X7F_d,,,,
6X7K_B,,,,
6X7K_d,,,,
6X9Q_B,,,,
6X9Q_d,,,,
6XA1_Bv,,,,
6XA1_L7,,,,
6XDQ_B,,,,
6XDQ_d,,,,
6XDR_B,,,,
6XDR_d,,,,
6XGF_B,,,,
6XGF_d,,,,
6XHV_1B,,,,
6XHV_1w,0.259,0.318,0.286,0.287
6XHV_1x,,,,
6XHV_2B,,,,
6XHV_2w,0.179,0.263,0.213,0.217
6XHV_2x,,,,
6XHV_2y,0.212,0.333,0.259,0.266
6XHW_1B,,,,
6XHW_1w,0.25,0.318,0.28,0.282
6XHW_1x,,,,
6XHW_2B,,,,
6XHW_2w,0.192,0.263,0.222,0.225
6XHW_2x,,,,
6XHW_2y,0.212,0.333,0.259,0.266
6XHX_1B,,,,
6XHX_2B,,,,
6XHY_1B,,,,
6XHY_1w,0.241,0.318,0.275,0.277
6XHY_1x,,,,
6XHY_2B,,,,
6XHY_2w,0.179,0.263,0.213,0.217
6XHY_2x,,,,
6XHY_2y,0.206,0.318,0.25,0.256
6XII_B,,,,
6XII_d,,,,
6XIJ_B,,,,
6XIJ_d,,,,
6XIQ_3,,,,
6XIQ_AX,,,,
6XIQ_AZ,,,,
6XIR_3,,,,
6XIR_AX,,,,
6XIR_AZ,,,,
6XQD_1B,,,,
6XQD_1x,,,,
6XQD_2B,,,,
6XQD_2x,,,,
