,PPV,TPR,F1,INF
5D0A_1_F,0.833,1.0,0.909,0.913
1ZL3_1_B,0.875,1.0,0.933,0.935
7ONU_1_T,0.393,0.786,0.524,0.556
1QTQ_1_B,0.545,0.783,0.643,0.653
6QW6_1_5,0.634,1.0,0.776,0.796
3OIN_1_C,1.0,1.0,1.0,1.0
2XDB_1_G,0.25,0.571,0.348,0.378
7P48_1_5,0.645,0.909,0.755,0.766
7MLW_1_F,0.559,0.95,0.704,0.729
3JCS_1_5,0.114,0.174,0.138,0.141
3JCS_1_3,0.183,0.567,0.276,0.322
6M0X_1_B,0.348,0.571,0.432,0.446
6W5C_1_B,0.4,0.5,0.444,0.447
7N2V_1_Pt,0.419,0.565,0.481,0.487
6PRV_1_A,0.259,0.875,0.4,0.476
5T16_1_H,1.0,1.0,1.0,1.0
5E81_1_2K,0.423,0.478,0.449,0.45
6TB3_1_n,0.5,0.789,0.612,0.628
6JQ6_1_U,0.621,1.0,0.766,0.788
6LTU_1_B,0.833,1.0,0.909,0.913
1H4S_1_T,0.345,0.667,0.455,0.479
1F27_1_A,1.0,1.0,1.0,1.0
6E8T_1_D,0.333,1.0,0.5,0.577
6U8D_1_A,0.657,0.885,0.754,0.762
1E7K_1_C,0.0,0.0,0.0,0.0
4ZDO_1_E,0.472,0.85,0.607,0.634
5WZJ_1_B,0.0,0.0,0.0,0.0
3NDB_1_M,0.549,0.848,0.667,0.682
6KWQ_1_B,0.857,1.0,0.923,0.926
6SY4_1_C,0.222,1.0,0.364,0.471
7RYG_1_B,0.544,0.816,0.653,0.666
4PRF_1_B,0.105,0.19,0.136,0.142
1U1Y_1_R,0.714,1.0,0.833,0.845
4BW0_1_A,0.545,1.0,0.706,0.739
6KYV_1_G,0.9,1.0,0.947,0.949
3ZGZ_1_B,0.486,0.72,0.581,0.592
6ZVI_1_e,0.371,0.722,0.491,0.518
2ZZM_1_B,0.125,0.2,0.154,0.158
7LJ3_1_A,0.364,0.762,0.492,0.526
4Z7K_1_C,0.0,0.0,0.0,0.0
6XN5_1_R,0.0,0.0,0.0,0.0
1Y26_1_X,0.575,1.0,0.73,0.758
5B2T_1_A,0.583,0.667,0.622,0.624
5HR6_1_C,0.563,0.9,0.692,0.712
7OZQ_1_H,0.571,1.0,0.727,0.756
4FAR_1_A,0.523,0.874,0.654,0.676
4ZNP_1_A,0.387,1.0,0.558,0.622
5F5F_1_F,0.571,1.0,0.727,0.756
4AL5_1_B,0.833,1.0,0.909,0.913
4PR6_1_B,0.256,0.455,0.328,0.341
3FOZ_1_D,0.313,0.588,0.408,0.429
2VPL_1_B,0.789,0.938,0.857,0.86
6TC3_1_PTR1,0.0,0.0,0.0,0.0
5WT1_1_C,0.387,0.75,0.511,0.539
5K7D_1_A,0.5,0.846,0.629,0.65
1XJR_1_A,0.375,0.692,0.486,0.51
7JRR_1_A,0.235,0.5,0.32,0.343
5M0J_1_E,0.75,1.0,0.857,0.866
7RQB_1_1B,0.515,0.791,0.624,0.638
5B2P_1_B,0.314,1.0,0.478,0.561
6YDP_1_AV,0.194,1.0,0.326,0.441
1ET4_1_A,0.235,0.444,0.308,0.323
7AQC_1_B,0.351,0.625,0.449,0.468
7C7L_1_C,0.636,0.966,0.767,0.784
6H9H_1_D,0.5,0.5,0.5,0.5
4LX6_1_A,0.525,1.0,0.689,0.725
2A43_1_A,0.267,1.0,0.421,0.516
6ZU5_1_L70,0.295,0.621,0.4,0.428
2Z75_1_B,0.537,0.879,0.667,0.687
4Z0C_1_C,0.0,0.0,0.0,0.0
7KI3_1_C,0.75,1.0,0.857,0.866
6TQA_1_G,0.875,1.0,0.933,0.935
4XNR_1_X,0.605,1.0,0.754,0.778
5FJC_1_A,0.409,0.783,0.537,0.566
7D7W_1_A,0.455,1.0,0.625,0.674
5DEA_1_A,0.238,0.833,0.37,0.445
6ZM6_1_x,0.531,1.0,0.694,0.729
6WBR_1_B,0.52,0.591,0.553,0.554
6H0R_1_A,0.857,1.0,0.923,0.926
6UGG_1_B,0.515,0.895,0.654,0.679
6DLR_1_A,0.431,0.926,0.588,0.632
7A9X_1_B,0.0,0.0,0.0,0.0
4IFD_1_R,1.0,1.0,1.0,1.0
6SZV_1_V,0.0,0.0,0.0,0.0
5WZI_1_B,0.0,0.0,0.0,0.0
5T5H_1_G,0.273,0.333,0.3,0.302
6XKO_1_A,0.417,1.0,0.588,0.645
4PCJ_1_A,0.0,0.0,0.0,0.0
3MXH_1_R,0.261,0.545,0.353,0.377
7N2V_1_Dt,0.321,0.474,0.383,0.39
6JOO_1_B,0.793,0.793,0.793,0.793
7KVT_1_B,0.313,1.0,0.476,0.559
7O80_1_AT,0.308,0.571,0.4,0.419
6ZMI_1_CC,0.432,0.889,0.582,0.62
5L4O_1_A,0.414,0.632,0.5,0.511
7O7Z_1_AH,0.6,0.947,0.735,0.754
6ZP4_1_1,0.457,0.667,0.542,0.552
3KFU_1_L,0.559,0.905,0.691,0.711
6XH2_1_D,0.818,1.0,0.9,0.905
2Y8Y_1_B,1.0,1.0,1.0,1.0
2ZUE_1_B,0.457,0.64,0.533,0.541
5F9F_1_F,0.909,1.0,0.952,0.953
5XTM_1_D,0.0,0.0,0.0,0.0
5XTM_1_B,0.0,0.0,0.0,0.0
6F4H_1_D,0.857,1.0,0.923,0.926
6MSF_1_S,0.0,0.0,0.0,0.0
7AS8_1_2,0.265,0.429,0.327,0.337
1QU2_1_T,0.576,0.905,0.704,0.722
3SN2_1_B,0.846,1.0,0.917,0.92
5DEA_1_C,0.25,0.833,0.385,0.456
4QI2_1_G,0.833,0.833,0.833,0.833
2Y9H_1_N,1.0,1.0,1.0,1.0
7JIL_1_3,0.117,0.368,0.177,0.207
