,PPV,TPR,F1,INF
6LVR_B,0.0,0.0,0.0,0.0
6LVR_D,0.0,0.0,0.0,0.0
6NUO_XV,0.0,0.0,0.0,0.0
6O3M_QV,0.0,0.0,0.0,0.0
6O3M_XV,0.0,0.0,0.0,0.0
6OF6_QV,0.0,0.0,0.0,0.0
6OF6_XV,0.0,0.0,0.0,0.0
6OJ2_QV,0.0,0.0,0.0,0.0
6OJ2_XV,0.0,0.0,0.0,0.0
6OM6_5,0.0,0.0,0.0,0.0
6OPE_QV,0.0,0.0,0.0,0.0
6OPE_XV,0.0,0.0,0.0,0.0
6ORD_QV,0.0,0.0,0.0,0.0
6ORD_XV,0.0,0.0,0.0,0.0
6TF0_A,0.0,0.0,0.0,0.0
6TFH_A,0.0,0.0,0.0,0.0
6UBU_B,0.0,0.0,0.0,0.0
6UC7_B,0.0,0.0,0.0,0.0
6UC8_B,0.0,0.0,0.0,0.0
6UC9_B,0.0,0.0,0.0,0.0
6VWM_5,0.0,0.0,0.0,0.0
6VWN_5,0.0,0.0,0.0,0.0
6VWT_B,0.667,1.0,0.8,0.816
6VWV_B,0.667,1.0,0.8,0.816
6W6L_v,0.0,0.0,0.0,0.0
6WD2_7,0.0,0.0,0.0,0.0
6WD3_5,0.0,0.0,0.0,0.0
6WD3_6,0.0,0.0,0.0,0.0
6WD4_6,0.0,0.0,0.0,0.0
6WD4_7,0.0,0.0,0.0,0.0
6WD5_5,0.0,0.0,0.0,0.0
6WD5_6,0.0,0.0,0.0,0.0
6WD5_7,0.0,0.0,0.0,0.0
6WD6_5,0.0,0.0,0.0,0.0
6WD6_6,0.0,0.0,0.0,0.0
6WD9_6,0.0,0.0,0.0,0.0
6WD9_7,0.0,0.0,0.0,0.0
6WDA_7,0.0,0.0,0.0,0.0
6WDB_6,0.0,0.0,0.0,0.0
6WDB_7,0.0,0.0,0.0,0.0
6WDC_6,0.0,0.0,0.0,0.0
6WDC_7,0.0,0.0,0.0,0.0
6WDD_6,0.0,0.0,0.0,0.0
6WDD_7,0.0,0.0,0.0,0.0
6WDE_7,0.0,0.0,0.0,0.0
6WDF_5,0.0,0.0,0.0,0.0
6WDG_7,0.0,0.0,0.0,0.0
6WDH_6,0.0,0.0,0.0,0.0
6WDH_7,0.0,0.0,0.0,0.0
6WDI_5,0.0,0.0,0.0,0.0
6WDI_6,0.0,0.0,0.0,0.0
6WDJ_6,0.0,0.0,0.0,0.0
6WDJ_7,0.0,0.0,0.0,0.0
6WDK_5,0.0,0.0,0.0,0.0
6WDK_6,0.0,0.0,0.0,0.0
6WDK_7,0.0,0.0,0.0,0.0
6WDL_7,0.0,0.0,0.0,0.0
6WDM_5,0.0,0.0,0.0,0.0
6WDM_7,0.0,0.0,0.0,0.0
6WJR_X,0.0,0.0,0.0,0.0
6WJS_X,0.0,0.0,0.0,0.0
6WNW_5,0.0,0.0,0.0,0.0
6WNW_7,0.0,0.0,0.0,0.0
6WZR_A,1.0,1.0,1.0,1.0
6WZR_B,1.0,1.0,1.0,1.0
6WZS_B,1.0,1.0,1.0,1.0
6XA1_Bv,0.0,0.0,0.0,0.0
6XHV_1w,0.0,0.0,0.0,0.0
6XHV_1x,0.0,0.0,0.0,0.0
6XHV_2w,0.0,0.0,0.0,0.0
6XHV_2x,0.0,0.0,0.0,0.0
6XHV_2y,0.0,0.0,0.0,0.0
6XHW_1w,0.0,0.0,0.0,0.0
6XHW_1x,0.0,0.0,0.0,0.0
6XHW_2w,0.0,0.0,0.0,0.0
6XHW_2x,0.0,0.0,0.0,0.0
6XHW_2y,0.0,0.0,0.0,0.0
6XHY_1w,0.0,0.0,0.0,0.0
6XHY_1x,0.0,0.0,0.0,0.0
6XHY_2w,0.0,0.0,0.0,0.0
6XHY_2x,0.0,0.0,0.0,0.0
6XHY_2y,0.0,0.0,0.0,0.0
6XIQ_AX,0.0,0.0,0.0,0.0
6XIQ_AZ,0.0,0.0,0.0,0.0
6XIR_AX,0.0,0.0,0.0,0.0
6XIR_AZ,0.0,0.0,0.0,0.0
6XQD_1x,0.0,0.0,0.0,0.0
6XQD_2x,0.0,0.0,0.0,0.0
6XQE_1x,0.0,0.0,0.0,0.0
6XQE_2x,0.0,0.0,0.0,0.0
6XZ7_f,0.0,0.0,0.0,0.0
6XZ7_g,0.0,0.0,0.0,0.0
6XZA_f2,0.0,0.0,0.0,0.0
6XZB_f2,0.0,0.0,0.0,0.0
6XZB_g2,0.0,0.0,0.0,0.0
6Y3G_F,0.0,0.0,0.0,0.0
6Y4B_F,0.0,0.0,0.0,0.0
6Y69_w,0.0,0.0,0.0,0.0
6YSR_w,0.0,0.0,0.0,0.0
6YSS_w,0.0,0.0,0.0,0.0
6YST_w,0.0,0.0,0.0,0.0
6YSU_w,0.0,0.0,0.0,0.0
6YWX_bb,0.0,0.0,0.0,0.0
6YWY_bb,0.0,0.0,0.0,0.0
6ZP4_1,0.0,0.0,0.0,0.0
6ZTJ_AW,0.0,0.0,0.0,0.0
6ZTJ_AX,0.0,0.0,0.0,0.0
6ZTL_AW,0.0,0.0,0.0,0.0
6ZTL_AX,0.0,0.0,0.0,0.0
6ZTM_AW,0.0,0.0,0.0,0.0
6ZTM_AX,0.0,0.0,0.0,0.0
6ZTN_AW,0.0,0.0,0.0,0.0
6ZTN_AX,0.0,0.0,0.0,0.0
6ZTN_AZ,0.0,0.0,0.0,0.0
6ZTO_AW,0.0,0.0,0.0,0.0
6ZTO_AX,0.0,0.0,0.0,0.0
6ZTP_AW,0.0,0.0,0.0,0.0
6ZTP_AX,0.0,0.0,0.0,0.0
6ZU1_AW,0.0,0.0,0.0,0.0
6ZU1_AX,0.0,0.0,0.0,0.0
6ZU9_1,0.0,0.0,0.0,0.0
6ZVH_x,0.0,0.0,0.0,0.0
6ZVI_e,0.0,0.0,0.0,0.0
7A09_f,0.0,0.0,0.0,0.0
7ABZ_7,0.0,0.0,0.0,0.0
7AC7_7,0.0,0.0,0.0,0.0
7AQC_P,0.0,0.0,0.0,0.0
7AS8_2,0.0,0.0,0.0,0.0
7AS9_2,0.0,0.0,0.0,0.0
7ASE_1,0.0,0.0,0.0,0.0
7B5K_9,0.0,0.0,0.0,0.0
7B5K_x,0.0,0.0,0.0,0.0
7B5K_z,0.0,0.0,0.0,0.0
7B7D_Sm,0.0,0.0,0.0,0.0
7BG9_B,0.0,0.0,0.0,0.0
7CHD_I,0.0,0.0,0.0,0.0
7CHD_J,0.0,0.0,0.0,0.0
7CPJ_9,0.0,0.0,0.0,0.0
7D7W_A,0.0,0.0,0.0,0.0
7D7X_A,0.0,0.0,0.0,0.0
7D7Y_A,0.0,0.0,0.0,0.0
7D7Z_A,0.0,0.0,0.0,0.0
7E8O_X,0.0,0.0,0.0,0.0
7ELP_B,0.0,0.0,0.0,0.0
7ELQ_B,0.0,0.0,0.0,0.0
7ELR_B,0.0,0.0,0.0,0.0
7ELS_B,0.0,0.0,0.0,0.0
7EQJ_B,0.0,0.0,0.0,0.0
7F36_E,0.0,0.0,0.0,0.0
7F36_F,0.0,0.0,0.0,0.0
7F36_H,0.0,0.0,0.0,0.0
7JQC_i,1.0,1.0,1.0,1.0
7JQL_1x,0.0,0.0,0.0,0.0
7JQL_2x,0.0,0.0,0.0,0.0
7JQM_1x,0.0,0.0,0.0,0.0
7JQM_2x,0.0,0.0,0.0,0.0
7JT1_5,0.0,0.0,0.0,0.0
7JT2_5,0.0,0.0,0.0,0.0
7K00_Z,0.0,0.0,0.0,0.0
7K50_5,0.0,0.0,0.0,0.0
7K50_7,0.0,0.0,0.0,0.0
7K51_5,0.0,0.0,0.0,0.0
7K52_5,0.0,0.0,0.0,0.0
7K52_6,0.0,0.0,0.0,0.0
7K53_5,0.0,0.0,0.0,0.0
7K53_7,0.0,0.0,0.0,0.0
7K54_5,0.0,0.0,0.0,0.0
7K54_6,0.0,0.0,0.0,0.0
7K55_5,0.0,0.0,0.0,0.0
7K55_6,0.0,0.0,0.0,0.0
7K98_F,0.0,0.0,0.0,0.0
7K9M_C,0.0,0.0,0.0,0.0
7KA0_C,0.0,0.0,0.0,0.0
7KA0_F,0.0,0.0,0.0,0.0
7KAB_C,0.0,0.0,0.0,0.0
7KGA_B,0.0,0.0,0.0,0.0
7KJT_A,0.0,0.0,0.0,0.0
7KJU_A,0.0,0.0,0.0,0.0
7LH5_CV,0.0,0.0,0.0,0.0
7LJ3_B,0.0,0.0,0.0,0.0
7LMA_B,0.6,1.0,0.75,0.775
7LMB_B,0.75,1.0,0.857,0.866
7LV0_5,0.0,0.0,0.0,0.0
7MT7_x,0.0,0.0,0.0,0.0
7N1P_Pt,0.0,0.0,0.0,0.0
7N2C_Pt,0.0,0.0,0.0,0.0
7N30_Pt,0.0,0.0,0.0,0.0
7NBU_V,0.0,0.0,0.0,0.0
7NFX_1,0.0,0.0,0.0,0.0
7NHK_D,0.0,0.0,0.0,0.0
7NHL_D,0.0,0.0,0.0,0.0
7NHM_D,0.0,0.0,0.0,0.0
7NHN_D,0.0,0.0,0.0,0.0
7NRD_Sm,0.0,0.0,0.0,0.0
7NSO_8,0.0,0.0,0.0,0.0
7NSP_8,0.0,0.0,0.0,0.0
7NSQ_8,0.0,0.0,0.0,0.0
7NWG_q3,0.0,0.0,0.0,0.0
7NWI_2,0.0,0.0,0.0,0.0
7NWT_5,0.0,0.0,0.0,0.0
7NWW_z,0.0,0.0,0.0,0.0
