,PPV,TPR,F1,INF
6PIJ_1_1,0.4,0.4,0.4,0.4
5IB7_1_3L,1.0,1.0,1.0,1.0
1L2X_1_A,1.0,1.0,1.0,1.0
5D8H_1_A,0.706,0.857,0.774,0.778
6Y2L_1_B4,1.0,1.0,1.0,1.0
5ZQ8_1_D,1.0,1.0,1.0,1.0
6QW6_1_5,0.853,1.0,0.921,0.924
1E7K_1_C,0.6,1.0,0.75,0.775
7REX_1_A,1.0,1.0,1.0,1.0
5D5L_1_A,0.708,0.944,0.81,0.818
4JRC_1_B,1.0,1.0,1.0,1.0
1MJI_1_D,0.9,1.0,0.947,0.949
6R5Q_1_3,0.952,1.0,0.976,0.976
5B63_1_D,0.889,1.0,0.941,0.943
7ONU_1_T,1.0,1.0,1.0,1.0
2Y9H_1_H,1.0,1.0,1.0,1.0
6F4H_1_B,1.0,1.0,1.0,1.0
6TQB_1_B,0.875,1.0,0.933,0.935
6E8S_1_A,1.0,1.0,1.0,1.0
7K16_1_P,0.375,0.6,0.462,0.474
5F5H_1_D,1.0,1.0,1.0,1.0
7CPU_1_L7,0.972,0.972,0.972,0.972
4QIL_1_C,1.0,1.0,1.0,1.0
6PMO_1_A,0.85,0.944,0.895,0.896
6AZ3_1_6,0.8,0.889,0.842,0.843
7JRR_1_A,0.231,0.375,0.286,0.294
6DLR_1_A,0.625,1.0,0.769,0.791
4X4N_1_D,0.9,1.0,0.947,0.949
5NDI_1_B,0.571,0.571,0.571,0.571
2DRA_1_B,1.0,1.0,1.0,1.0
2BH2_1_D,1.0,1.0,1.0,1.0
6N2V_1_A,0.781,0.962,0.862,0.867
4PRF_1_B,0.409,0.643,0.5,0.513
3EPH_1_E,0.944,1.0,0.971,0.972
6KYV_1_G,1.0,1.0,1.0,1.0
6UFG_1_B,1.0,1.0,1.0,1.0
2JLT_1_A,0.25,0.5,0.333,0.354
6LTU_1_B,0.833,1.0,0.909,0.913
4AY2_1_C,1.0,1.0,1.0,1.0
6WJR_1_X,0.71,1.0,0.83,0.842
3LA5_1_A,0.833,0.909,0.87,0.87
6P7M_1_B,1.0,1.0,1.0,1.0
7OIF_1_z,0.833,0.87,0.851,0.851
5F5F_1_B,1.0,1.0,1.0,1.0
3D0U_1_A,0.714,1.0,0.833,0.845
5BTM_1_A,0.833,1.0,0.909,0.913
3DIL_1_A,0.774,1.0,0.873,0.88
5H9F_1_L,1.0,1.0,1.0,1.0
5MSF_1_R,1.0,1.0,1.0,1.0
4Z0C_1_C,0.0,0.0,0.0,0.0
4IFD_1_R,0.5,0.5,0.5,0.5
6P2H_1_A,0.65,0.722,0.684,0.685
4Z31_1_E,1.0,1.0,1.0,1.0
4FRG_1_B,0.68,1.0,0.81,0.825
2ZY6_1_A,0.778,0.778,0.778,0.778
7L0Z_1_G,0.81,1.0,0.895,0.9
2Y9H_1_N,1.0,1.0,1.0,1.0
7P48_1_5,0.952,1.0,0.976,0.976
5M0H_1_A,0.867,0.929,0.897,0.897
5VW1_1_C,0.765,0.765,0.765,0.765
1JID_1_B,0.5,0.667,0.571,0.577
5D0A_1_F,1.0,1.0,1.0,1.0
6QW6_1_4,0.607,0.81,0.694,0.701
6DU4_1_B,1.0,1.0,1.0,1.0
3AKZ_1_E,1.0,1.0,1.0,1.0
2Y8Y_1_B,1.0,1.0,1.0,1.0
6T4Q_1_7,0.95,1.0,0.974,0.975
6YL5_1_I,0.833,1.0,0.909,0.913
7JIL_1_3,0.903,1.0,0.949,0.95
4AOB_1_A,0.483,0.737,0.583,0.596
4RUM_1_A,0.966,1.0,0.982,0.983
1SER_1_T,0.4,0.471,0.432,0.434
2ZZM_1_B,0.8,1.0,0.889,0.894
3HAX_1_E,1.0,1.0,1.0,1.0
1U1Y_1_R,1.0,1.0,1.0,1.0
2XDB_1_G,0.571,0.571,0.571,0.571
4LX6_1_A,0.84,0.913,0.875,0.876
7NQ4_1_C,1.0,1.0,1.0,1.0
6AJK_1_B,1.0,1.0,1.0,1.0
3OVB_1_C,1.0,1.0,1.0,1.0
6SZV_1_V,1.0,1.0,1.0,1.0
2ANN_1_B,0.0,0.0,0.0,0.0
5E81_1_3L,1.0,1.0,1.0,1.0
3GS5_1_A,0.875,1.0,0.933,0.935
7OX8_1_A,0.941,1.0,0.97,0.97
4LGT_1_E,0.667,0.8,0.727,0.73
7EU9_1_B,0.833,1.0,0.909,0.913
4K50_1_B,1.0,1.0,1.0,1.0
5T5A_1_A,0.524,0.786,0.629,0.642
2Y9H_1_J,1.0,1.0,1.0,1.0
5UDZ_1_W,1.0,1.0,1.0,1.0
4QLM_1_A,0.886,1.0,0.939,0.941
6SKG_1_BB,0.919,0.971,0.944,0.945
3NVI_1_F,1.0,1.0,1.0,1.0
4JXZ_1_B,0.95,1.0,0.974,0.975
5NDH_1_A,0.0,0.0,0.0,0.0
3NPQ_1_A,0.286,0.667,0.4,0.436
6ERI_1_AB,0.167,0.4,0.235,0.258
2QUW_1_B,0.833,0.909,0.87,0.87
6UFM_1_B,0.828,0.889,0.857,0.858
5WTI_1_B,0.733,0.957,0.83,0.838
2A43_1_A,1.0,1.0,1.0,1.0
6JQ6_1_U,0.737,1.0,0.848,0.858
4TUW_1_C,1.0,1.0,1.0,1.0
6AAY_1_B,1.0,1.0,1.0,1.0
7KGB_1_B,0.933,1.0,0.966,0.966
1B23_1_R,0.9,1.0,0.947,0.949
5UD5_1_C,0.958,1.0,0.979,0.979
6ZP4_1_1,1.0,1.0,1.0,1.0
6TB3_1_n,0.905,1.0,0.95,0.951
6TC3_1_PTR1,1.0,1.0,1.0,1.0
6MWN_1_B,0.867,0.867,0.867,0.867
5X2G_1_B,0.833,1.0,0.909,0.913
6ERI_1_Ax,0.886,0.912,0.899,0.899
6DVK_1_H,1.0,1.0,1.0,1.0
5WLH_1_B,0.8,1.0,0.889,0.894
6LT7_1_C,1.0,1.0,1.0,1.0
6AAX_1_B,1.0,1.0,1.0,1.0
5MGA_1_B,1.0,1.0,1.0,1.0
4JF2_1_A,1.0,1.0,1.0,1.0
4V99_1_C2,1.0,1.0,1.0,1.0
5SWD_1_B,0.783,0.947,0.857,0.861
3KFU_1_L,0.955,1.0,0.977,0.977
4ZT0_1_D,0.765,0.813,0.788,0.788
5M0I_1_E,1.0,1.0,1.0,1.0
3BT7_1_D,1.0,1.0,1.0,1.0
7KI3_1_C,1.0,1.0,1.0,1.0
6RJA_1_D,0.476,0.769,0.588,0.605
5T5H_1_D,0.758,1.0,0.862,0.87
1IL2_1_C,0.95,1.0,0.974,0.975
6DCC_1_B,0.778,1.0,0.875,0.882
5M0I_1_F,1.0,1.0,1.0,1.0
3G9C_1_Q,0.714,0.968,0.822,0.831
6CFJ_1_1x,0.952,0.952,0.952,0.952
5F9F_1_F,1.0,1.0,1.0,1.0
6KC8_1_B,0.846,0.917,0.88,0.881
5AXM_1_P,0.95,1.0,0.974,0.975
6AZ3_1_4,0.479,0.622,0.541,0.546
6YAL_1_1,1.0,1.0,1.0,1.0
7ELQ_1_A,0.733,1.0,0.846,0.856
5DM6_1_Y,0.914,1.0,0.955,0.956
6DME_1_A,0.71,0.815,0.759,0.76
7C79_1_A,0.593,0.857,0.701,0.713
3ADD_1_C,0.879,0.967,0.921,0.922
7D3J_1_B,0.833,1.0,0.909,0.913
5D0B_1_F,0.833,1.0,0.909,0.913
6R5Q_1_2,0.933,1.0,0.966,0.966
2ZZN_1_D,0.955,1.0,0.977,0.977
7O7Y_1_B7,0.971,0.971,0.971,0.971
1QU2_1_T,0.955,1.0,0.977,0.977
7ODF_1_F,1.0,1.0,1.0,1.0
5M0J_1_E,1.0,1.0,1.0,1.0
1Y26_1_X,0.8,0.909,0.851,0.853
6YWE_1_bb,1.0,1.0,1.0,1.0
6WOO_1_3,1.0,1.0,1.0,1.0
7OT5_1_z,0.474,0.9,0.621,0.653
7LYT_1_B,1.0,1.0,1.0,1.0
3V7E_1_C,0.891,1.0,0.943,0.944
1H4S_1_T,0.95,1.0,0.974,0.975
7MQA_1_L2,0.721,1.0,0.838,0.849
7JNH_1_B,1.0,1.0,1.0,1.0
