,PPV,TPR,F1,INF
7A01_d2,0.54,0.971,0.694,0.724
7A09_f,0.571,0.952,0.714,0.738
7A0R_Y,0.468,0.806,0.592,0.614
7A0S_Y,0.509,0.829,0.63,0.649
7A18_Y,0.483,0.829,0.611,0.633
7A5F_24,0.195,0.421,0.267,0.287
7A5F_C,0.195,0.421,0.267,0.287
7A5G_24,0.175,0.389,0.241,0.261
7A5G_C,0.175,0.389,0.241,0.261
7A5G_j,0.289,0.688,0.407,0.446
7A5H_24,0.179,0.368,0.241,0.257
7A5I_94,0.194,0.389,0.259,0.275
7A5I_99,0.219,0.389,0.28,0.292
7A5I_X,0.194,0.368,0.255,0.268
7A5J_G,0.175,0.389,0.241,0.261
7A5J_x,0.175,0.389,0.241,0.261
7A5K_24,0.179,0.368,0.241,0.257
7A5K_FE,0.179,0.368,0.241,0.257
7A5P_2,0.512,0.88,0.647,0.671
7ABF_6,0.467,0.538,0.5,0.501
7ABG_5,0.524,0.733,0.611,0.62
7ABI_5,0.512,0.7,0.592,0.599
7ABZ_3,0.603,1.0,0.753,0.777
7ABZ_7,0.531,0.85,0.654,0.672
7AC7_3,0.583,0.972,0.729,0.753
7AC7_7,0.269,0.35,0.304,0.307
7ACJ_3,0.559,0.943,0.702,0.726
7ACR_3,0.586,0.944,0.723,0.744
7AJT_D4,0.047,0.108,0.066,0.071
7AOR_A,0.0,0.0,0.0,0.0
7AQC_B,0.561,1.0,0.719,0.749
7AQC_T,0.656,1.0,0.792,0.81
7AQD_B,0.561,1.0,0.719,0.749
7AQD_T,0.618,1.0,0.764,0.786
7AS8_B,0.552,1.0,0.711,0.743
7AS9_2,0.553,1.0,0.712,0.743
7AS9_B,0.492,1.0,0.66,0.702
7ASA_A,0.419,0.722,0.531,0.55
7ASM_B,0.468,1.0,0.637,0.684
7ASN_B,0.268,0.652,0.38,0.418
7ASO_C,0.055,0.13,0.077,0.084
7ASP_3,0.131,0.333,0.188,0.209
7AZY_F,0.5,0.914,0.646,0.676
7B0Y_a,0.397,0.625,0.485,0.498
7B5K_9,0.541,0.952,0.69,0.717
7B5K_B,0.59,1.0,0.742,0.768
7B5K_x,0.613,0.95,0.745,0.763
7B5K_z,0.618,1.0,0.764,0.786
7B7D_LB,0.516,0.914,0.66,0.687
7B7D_Sm,0.5,0.895,0.642,0.669
7B7D_Sn,0.5,0.895,0.642,0.669
7B9V_5,0.356,0.65,0.46,0.481
7BG9_B,0.109,0.183,0.137,0.141
7BGB_B,0.667,0.923,0.774,0.784
7BHP_L7,0.523,0.971,0.68,0.713
7BL2_B,0.593,0.972,0.737,0.759
7BL3_B,0.6,1.0,0.75,0.775
7BL4_B,0.59,1.0,0.742,0.768
7BL5_B,0.552,0.889,0.681,0.7
7BL6_B,0.581,1.0,0.735,0.762
7BT6_3,0.464,0.765,0.578,0.596
7BTB_3,0.475,0.824,0.602,0.625
7BV8_B,0.59,1.0,0.742,0.768
7C79_A,0.524,0.733,0.611,0.62
7C7A_A,0.512,0.742,0.606,0.616
7CHD_I,0.44,0.579,0.5,0.505
7CHD_J,0.423,0.579,0.489,0.495
7CPJ_9,0.636,1.0,0.778,0.798
7CPJ_B,0.565,0.972,0.714,0.741
7CPU_L7,0.531,0.971,0.687,0.718
7CPV_L7,0.531,0.971,0.687,0.718
7D4I_3A,0.365,0.6,0.454,0.468
7D6Z_2,0.447,0.81,0.576,0.602
7D6Z_3,0.484,0.938,0.638,0.674
7D6Z_4,0.536,0.789,0.638,0.65
7D6Z_B,0.556,1.0,0.714,0.745
7D7V_A,0.0,0.0,0.0,0.0
7D80_a,0.486,1.0,0.654,0.697
7D80_X,0.333,0.55,0.415,0.428
7D80_y,0.433,0.813,0.565,0.593
7D80_Z,0.357,0.588,0.444,0.458
7DCO_B,0.357,0.641,0.459,0.478
7E8O_X,0.636,1.0,0.778,0.798
7EAF_A,0.489,0.846,0.62,0.643
7ELP_A,0.5,1.0,0.667,0.707
7ELP_B,0.458,1.0,0.629,0.677
7ELQ_A,0.478,1.0,0.647,0.692
7ELQ_B,0.458,1.0,0.629,0.677
7ELR_A,0.478,1.0,0.647,0.692
7ELR_B,0.478,1.0,0.647,0.692
7ELS_A,0.5,1.0,0.667,0.707
7ELS_B,0.458,1.0,0.629,0.677
7EQJ_A,0.618,1.0,0.764,0.786
7EQJ_B,0.618,1.0,0.764,0.786
7EZ0_N,0.537,0.939,0.684,0.71
7F36_E,0.583,1.0,0.737,0.764
7F36_F,0.656,1.0,0.792,0.81
7F36_G,0.618,1.0,0.764,0.786
7JIL_3,0.5,0.968,0.659,0.696
7JQC_i,0.167,0.429,0.24,0.267
7JQL_1B,0.559,1.0,0.717,0.748
7JQL_1x,0.407,0.611,0.489,0.499
7JQL_2B,0.538,0.921,0.68,0.704
