,PPV,TPR,F1,INF
7A01_d2,0.556,0.972,0.707,0.735
7A09_f,0.571,0.952,0.714,0.738
7A0R_Y,0.532,1.0,0.695,0.73
7A0S_Y,0.474,0.844,0.607,0.632
7A18_Y,0.417,0.781,0.543,0.571
7A5F_24,0.024,0.077,0.037,0.043
7A5F_C,0.024,0.077,0.037,0.043
7A5G_24,0.0,0.0,0.0,0.0
7A5G_C,0.0,0.0,0.0,0.0
7A5G_j,0.474,0.947,0.632,0.67
7A5H_24,0.0,0.0,0.0,0.0
7A5I_94,0.0,0.0,0.0,0.0
7A5I_99,0.0,0.0,0.0,0.0
7A5I_X,0.0,0.0,0.0,0.0
7A5J_G,0.0,0.0,0.0,0.0
7A5J_x,0.0,0.0,0.0,0.0
7A5K_24,0.0,0.0,0.0,0.0
7A5K_FE,0.0,0.0,0.0,0.0
7A5P_2,0.0,0.0,0.0,0.0
7ABF_6,0.0,0.0,0.0,0.0
7ABG_5,0.0,0.0,0.0,0.0
7ABI_5,0.0,0.0,0.0,0.0
7ABZ_3,0.603,1.0,0.753,0.777
7ABZ_7,0.031,0.167,0.053,0.072
7AC7_3,0.583,0.972,0.729,0.753
7AC7_7,0.038,0.167,0.063,0.08
7ACJ_3,0.559,0.943,0.702,0.726
7ACR_3,0.586,0.944,0.723,0.744
7AJT_D4,0.0,0.0,0.0,0.0
7AOR_A,0.0,0.0,0.0,0.0
7AQC_B,0.544,0.969,0.697,0.726
7AQC_T,0.656,1.0,0.792,0.81
7AQD_B,0.544,0.969,0.697,0.726
7AQD_T,0.618,1.0,0.764,0.786
7AS8_B,0.534,0.969,0.689,0.72
7AS9_2,0.553,1.0,0.712,0.743
7AS9_B,0.477,0.969,0.639,0.68
7ASA_A,0.0,0.0,0.0,0.0
7ASM_B,0.484,1.0,0.652,0.696
7ASN_B,0.071,0.364,0.119,0.161
7ASO_C,0.091,0.217,0.128,0.141
7ASP_3,0.213,0.481,0.295,0.32
7AZY_F,0.531,0.971,0.687,0.718
7B0Y_a,0.0,0.0,0.0,0.0
7B5K_9,0.514,0.95,0.667,0.698
7B5K_B,0.59,1.0,0.742,0.768
7B5K_x,0.645,1.0,0.784,0.803
7B5K_z,0.618,1.0,0.764,0.786
7B7D_LB,0.548,0.971,0.701,0.73
7B7D_Sm,0.529,0.947,0.679,0.708
7B7D_Sn,0.529,0.947,0.679,0.708
7B9V_5,0.027,0.087,0.042,0.049
7BG9_B,0.008,0.05,0.014,0.02
7BGB_B,0.0,0.0,0.0,0.0
7BHP_L7,0.538,0.972,0.693,0.724
7BL2_B,0.593,0.972,0.737,0.759
7BL3_B,0.6,1.0,0.75,0.775
7BL4_B,0.59,1.0,0.742,0.768
7BL5_B,0.552,0.889,0.681,0.7
7BL6_B,0.581,1.0,0.735,0.762
7BT6_3,0.5,0.824,0.622,0.642
7BTB_3,0.508,0.882,0.645,0.67
7BV8_B,0.59,1.0,0.742,0.768
7C79_A,0.032,0.133,0.051,0.065
7C7A_A,0.023,0.094,0.037,0.047
7CHD_I,0.16,0.5,0.242,0.283
7CHD_J,0.154,0.5,0.235,0.277
7CPJ_9,0.636,1.0,0.778,0.798
7CPJ_B,0.565,0.972,0.714,0.741
7CPU_L7,0.547,0.972,0.7,0.729
7CPV_L7,0.547,0.972,0.7,0.729
7D4I_3A,0.041,0.13,0.062,0.073
7D6Z_2,0.105,0.333,0.16,0.187
7D6Z_3,0.129,0.25,0.17,0.18
7D6Z_4,0.071,0.2,0.105,0.12
7D6Z_B,0.556,1.0,0.714,0.745
7D7V_A,0.136,0.429,0.207,0.242
7D80_a,0.486,1.0,0.654,0.697
7D80_X,0.121,0.364,0.182,0.21
7D80_y,0.133,0.25,0.174,0.183
7D80_Z,0.036,0.1,0.053,0.06
7DCO_B,0.014,0.077,0.024,0.033
7E8O_X,0.091,0.3,0.14,0.165
7EAF_A,0.0,0.0,0.0,0.0
7ELP_A,0.0,0.0,0.0,0.0
7ELP_B,0.0,0.0,0.0,0.0
7ELQ_A,0.0,0.0,0.0,0.0
7ELQ_B,0.0,0.0,0.0,0.0
7ELR_A,0.0,0.0,0.0,0.0
7ELR_B,0.0,0.0,0.0,0.0
7ELS_A,0.0,0.0,0.0,0.0
7ELS_B,0.0,0.0,0.0,0.0
7EQJ_A,0.618,1.0,0.764,0.786
7EQJ_B,0.471,0.941,0.627,0.666
7EZ0_N,0.07,0.264,0.11,0.136
7F36_E,0.333,0.75,0.462,0.5
7F36_F,0.656,1.0,0.792,0.81
7F36_G,0.618,1.0,0.764,0.786
7JIL_3,0.5,1.0,0.667,0.707
7JQC_i,0.0,0.0,0.0,0.0
7JQL_1B,0.529,1.0,0.692,0.728
7JQL_1x,0.111,0.273,0.158,0.174
7JQL_2B,0.508,0.917,0.653,0.682
7JQL_2x,0.107,0.273,0.154,0.171
7JQM_1B,0.522,1.0,0.686,0.722
7JQM_1x,0.115,0.273,0.162,0.177
7JQM_2B,0.522,1.0,0.686,0.723
7JQM_2x,0.111,0.273,0.158,0.174
7JQQ_K,0.077,0.192,0.11,0.122
7JQQ_L,0.081,0.192,0.114,0.125
7JQQ_M,0.085,0.2,0.119,0.13
7JQQ_N,0.075,0.185,0.106,0.118
7JQQ_O,0.047,0.12,0.067,0.075
7JSS_2,0.61,1.0,0.758,0.781
7JSS_5,0.606,1.0,0.755,0.778
7JSW_2,0.581,1.0,0.735,0.762
7JSW_5,0.588,1.0,0.741,0.767
7JSZ_2,0.603,1.0,0.753,0.777
7JSZ_5,0.606,1.0,0.755,0.778
7JT1_2,0.565,0.972,0.714,0.741
7JT1_5,0.69,1.0,0.816,0.83
7JT2_2,0.593,0.972,0.737,0.759
7JT2_5,0.606,1.0,0.755,0.778
7JT3_2,0.583,0.972,0.729,0.753
7JT3_5,0.645,1.0,0.784,0.803
7K00_b,0.563,1.0,0.72,0.75
7K00_Y,0.389,0.7,0.5,0.522
7K00_Z,0.375,0.75,0.5,0.53
7K50_2,0.581,1.0,0.735,0.762
7K50_5,0.645,1.0,0.784,0.803
7K50_6,0.633,0.95,0.76,0.776
7K50_7,0.6,1.0,0.75,0.775
7K51_2,0.632,1.0,0.774,0.795
7K51_5,0.625,0.952,0.755,0.772
7K51_6,0.645,1.0,0.784,0.803
7K52_2,0.621,1.0,0.766,0.788
7K52_5,0.656,1.0,0.792,0.81
7K52_6,0.645,1.0,0.784,0.803
7K53_2,0.59,1.0,0.742,0.768
7K53_5,0.645,1.0,0.784,0.803
7K53_6,0.655,0.95,0.776,0.789
7K53_7,0.583,1.0,0.737,0.764
7K54_2,0.59,1.0,0.742,0.768
7K54_5,0.583,1.0,0.737,0.764
7K54_6,0.606,1.0,0.755,0.778
7K55_2,0.571,1.0,0.727,0.756
7K55_5,0.6,1.0,0.75,0.775
7K55_6,0.556,1.0,0.714,0.745
7K98_C,0.6,1.0,0.75,0.775
7K98_F,0.583,1.0,0.737,0.764
7KD1_A,0.023,0.111,0.038,0.051
7KGA_A,0.0,0.0,0.0,0.0
7KGA_B,0.0,0.0,0.0,0.0
7KGB_B,0.508,1.0,0.674,0.713
7KGB_y,0.588,1.0,0.741,0.767
7LH5_AW,0.419,0.684,0.52,0.536
7LH5_BB,0.522,1.0,0.686,0.723
7LH5_CW,0.265,0.474,0.34,0.354
7LH5_DB,0.522,1.0,0.686,0.723
7LJ3_A,0.477,1.0,0.646,0.691
7LJ3_B,0.488,1.0,0.656,0.699
7LJ3_C,0.5,1.0,0.667,0.707
7LMB_B,0.018,0.059,0.027,0.032
7LS1_B2,0.55,0.917,0.688,0.71
7LS2_B2,0.532,0.917,0.673,0.699
7LV0_2,0.621,1.0,0.766,0.788
7LV0_5,0.656,1.0,0.792,0.81
7LV0_6,0.645,1.0,0.784,0.803
7LVA_A,0.0,0.0,0.0,0.0
7LVK_J,0.583,1.0,0.737,0.764
7LYF_A,0.016,0.063,0.026,0.032
7M4V_B,0.534,0.969,0.689,0.72
7M4W_B,0.533,1.0,0.696,0.73
7M4X_B,0.517,0.938,0.667,0.696
7M4X_v,0.438,0.933,0.596,0.639
7M4Y_B,0.542,1.0,0.703,0.736
7M4Y_v,0.467,0.933,0.622,0.66
7M4Z_B,0.554,0.969,0.705,0.732
7MD7_1B,0.53,1.0,0.693,0.728
7MD7_2B,0.565,1.0,0.722,0.751
7MDZ_2,0.636,1.0,0.778,0.798
7MDZ_7,0.565,0.972,0.714,0.741
7MQ8_L0,0.027,0.111,0.043,0.054
7MQ8_L2,0.0,0.0,0.0,0.0
7MQ9_L0,0.025,0.111,0.04,0.052
7MQ9_L2,0.0,0.0,0.0,0.0
7MQA_L2,0.017,0.059,0.027,0.032
7MRL_A,0.378,0.824,0.519,0.558
7MSC_B,0.5,0.968,0.659,0.696
7MSC_y,0.588,1.0,0.741,0.767
7MSH_B,0.5,0.935,0.652,0.684
7MSH_y,0.559,0.95,0.704,0.729
7MSM_B,0.476,0.968,0.638,0.679
7MSM_y,0.606,1.0,0.755,0.778
7MSZ_B,0.547,0.935,0.69,0.715
7MSZ_y,0.571,1.0,0.727,0.756
7MT2_B,0.5,0.968,0.659,0.696
7MT2_y,0.571,1.0,0.727,0.756
7MT3_B,0.5,1.0,0.667,0.707
7MT3_y,0.571,1.0,0.727,0.756
7MT7_B,0.469,0.968,0.632,0.674
7MT7_x,0.588,1.0,0.741,0.767
7MT7_y,0.571,1.0,0.727,0.756
7N1P_5,0.563,1.0,0.72,0.75
7N1P_Dt,0.111,0.25,0.154,0.167
7N2C_5,0.59,1.0,0.742,0.768
7N2C_Dt,0.034,0.091,0.05,0.056
7N2U_5,0.545,1.0,0.706,0.739
7N2U_Dt,0.036,0.091,0.051,0.057
7N2U_Pt,0.207,0.429,0.279,0.298
7N2V_5,0.563,1.0,0.72,0.75
7N2V_Dt,0.036,0.091,0.051,0.057
7N2V_Pt,0.258,0.667,0.372,0.415
7N30_5,0.571,1.0,0.727,0.756
7N30_Dt,0.036,0.091,0.051,0.057
7N31_5,0.571,1.0,0.727,0.756
7N31_Dt,0.097,0.25,0.14,0.156
7N31_Pt,0.2,0.429,0.273,0.293
7NBU_b,0.59,1.0,0.742,0.768
7NBU_V,0.419,0.813,0.553,0.584
7NFX_1,0.112,0.289,0.161,0.18
7NFX_7,0.593,0.972,0.737,0.759
7NHK_B,0.46,1.0,0.63,0.678
7NHL_B,0.475,1.0,0.644,0.689
7NHM_B,0.475,1.0,0.644,0.689
7NHN_B,0.484,1.0,0.653,0.696
7NRC_LB,0.523,0.971,0.68,0.713
7NRC_Sm,0.611,1.0,0.759,0.782
7NRC_Sn,0.545,0.947,0.692,0.719
7NRD_LB,0.531,0.971,0.687,0.718
7NRD_Sm,0.606,1.0,0.755,0.778
7NRD_Sn,0.462,0.947,0.621,0.661
7NSO_8,0.667,1.0,0.8,0.816
7NSO_B,0.563,1.0,0.72,0.75
7NSP_8,0.6,1.0,0.75,0.775
7NSP_B,0.563,1.0,0.72,0.75
7NSP_v,0.656,1.0,0.792,0.81
7NSQ_8,0.615,1.0,0.762,0.784
