,PPV,TPR,F1,INF
157D_1_A-B,0.0,0.0,0.0,0.0
165D_1_A-B,0.0,0.0,0.0,0.0
17RA_7_A,0.0,0.0,0.0,0.0
1A1T_1_B,0.0,0.0,0.0,0.0
1A3M_1_A-B,0.0,0.0,0.0,0.0
1A4D_1_A-B,0.167,1.0,0.286,0.408
1A4T_1_A,0.0,0.0,0.0,0.0
1A51_3_A,0.167,1.0,0.286,0.408
1A60_1_A,0.0,0.0,0.0,0.0
1A9L_1_A,0.0,0.0,0.0,0.0
1A9N_1_Q,0.0,0.0,0.0,0.0
1A9N_1_R,0.0,0.0,0.0,0.0
1AFX_2_A,0.0,0.0,0.0,0.0
1AJF_1_A,0.0,0.0,0.0,0.0
1AJL_1_A-B,0.5,0.5,0.5,0.5
1AJT_1_A-B,1.0,1.0,1.0,1.0
1AJU_9_A,0.0,0.0,0.0,0.0
1AKX_1_A,0.0,0.0,0.0,0.0
1AM0_2_A,0.0,0.0,0.0,0.0
1ANR_2_A,0.0,0.0,0.0,0.0
1AQO_3_A,0.0,0.0,0.0,0.0
1ARJ_7_N,0.0,0.0,0.0,0.0
1ASY_1_R,0.0,0.0,0.0,0.0
1ASY_1_S,0.0,0.0,0.0,0.0
1ASZ_1_R,0.0,0.0,0.0,0.0
1ASZ_1_S,0.0,0.0,0.0,0.0
1ATO_1_A,0.0,0.0,0.0,0.0
1ATV_1_A,0.0,0.0,0.0,0.0
1ATW_1_A,0.0,0.0,0.0,0.0
1AUD_8_B,0.0,0.0,0.0,0.0
1B23_1_R,0.0,0.0,0.0,0.0
1B36_8_A,0.0,0.0,0.0,0.0
1B7F_1_Q,0.0,0.0,0.0,0.0
1BAU_1_A-B,0.143,0.167,0.154,0.154
1BGZ_1_A,0.0,0.0,0.0,0.0
1BIV_5_A,0.0,0.0,0.0,0.0
1BVJ_1_A,0.0,0.0,0.0,0.0
1BYJ_31_A,0.0,0.0,0.0,0.0
1BZ2_1_A,0.0,0.0,0.0,0.0
1BZ3_1_A,0.0,0.0,0.0,0.0
1BZT_1_A,0.0,0.0,0.0,0.0
1BZU_1_A,0.0,0.0,0.0,0.0
1C04_1_E,0.077,0.167,0.105,0.113
1C04_1_F,0.0,0.0,0.0,0.0
1C0O_1_A,0.0,0.0,0.0,0.0
1C2X_1_C,0.0,0.0,0.0,0.0
1C4L_1_A-B,0.0,0.0,0.0,0.0
1CQ5_1_A,0.0,0.0,0.0,0.0
1CQL_10_A,0.0,0.0,0.0,0.0
1CSL_1_B-A,0.333,1.0,0.5,0.577
1D0T_1_A,0.0,0.0,0.0,0.0
1D0U_14_A,0.0,0.0,0.0,0.0
1D4R_1_B-A,0.0,0.0,0.0,0.0
1D6K_4_B,0.0,0.0,0.0,0.0
1DDY_1_A,0.0,0.0,0.0,0.0
1DDY_1_C,0.0,0.0,0.0,0.0
1DDY_1_E,0.0,0.0,0.0,0.0
1DDY_1_G,0.0,0.0,0.0,0.0
1DFU_1_M-N,0.0,0.0,0.0,0.0
